lam,theta_starter,mode,feature,true,mean_beta,bias,bias_se,bias_in_se,mean_z,sd_z,pred_bias,m,v_over_n,tau2_x
800.0,0.6420142676845211,loo,tov,-1.0,-0.7134300282367086,0.28656997176329135,0.02782068783526496,0.7450714023951096,0.7459228667917961,0.4600846580127636,0.32610712331290975,-1.0,0.07942902472483779,1.6570186457186484
800.0,0.5244157499957189,crossfit,fg3m,1.6,1.6280429091349586,0.02804290913495855,0.03823549133064125,0.07386293006251622,0.07662872589559394,0.6399157394065008,0.0,3.0,0.06954800621802508,1.5853920355038893
800.0,0.5244157499957189,crossfit,fg2m,0.9,0.8990654632136753,-0.0009345367863247134,0.018990477012481438,-0.005945554242475155,-0.0112810882463333,0.7584918259000445,0.0,2.0,0.1610719392316637,6.895285328500538
800.0,0.5244157499957189,crossfit,ftm,0.5,0.4960911010960329,-0.003908898903967117,0.030088710253632345,-0.015957653725976316,-0.014666148973664871,0.787820261980116,0.0,1.0,0.10765600822016833,3.801305309430663
800.0,0.5244157499957189,crossfit,fg3_miss,-0.7,-0.6992648726483842,0.0007351273516157386,0.01980825292157439,0.003388142849056218,0.005365151388249405,0.567183661757781,0.0,-0.75,0.11526948782093671,4.85361308998075
800.0,0.5244157499957189,crossfit,fg2_miss,-0.6,-0.6012460682758813,-0.0012460682758813624,0.015743426165380856,-0.007411281427005558,-0.00587914495167218,0.5912242182756792,0.0,-0.75,0.15760440252828556,9.106750347192644
800.0,0.5244157499957189,crossfit,orb,0.5,0.5853455131227696,0.08534551312276961,0.055439577681129594,0.181793627443688,0.165867001177321,0.7455771087254188,0.0,0.75,0.05632670444918529,0.8435487363952092
800.0,0.5244157499957189,crossfit,tov,-1.0,-0.956707296412028,0.04329270358797199,0.03303857800064275,0.13550439712439388,0.1372982453708455,0.6625213402282324,0.0,-1.0,0.07942902472483779,1.6570186457186484
8000.0,0.2285549958306321,full,fg3m,1.6,1.7952061082535997,0.19520610825359963,0.03479066364604282,0.7513437094383143,0.7462182085796192,0.8485028906640251,0.06141522508297995,3.0,0.06954800621802508,1.5853920355038893
8000.0,0.2285549958306321,full,fg2m,0.9,0.9407685933046747,0.04076859330467464,0.01669491735703307,0.3742237391828187,0.3558100862451649,0.9457356217867892,0.02569569273986227,2.0,0.1610719392316637,6.895285328500538
8000.0,0.2285549958306321,full,ftm,0.5,0.5377494694876128,0.03774946948761282,0.02981202486872834,0.22313504059206668,0.23259065368265203,1.1116942116079251,0.014160400106916484,1.0,0.10765600822016833,3.801305309430663
8000.0,0.2285549958306321,full,fg3_miss,-0.7,-0.718727289234819,-0.018727289234819033,0.017326998310032458,-0.12430029544244288,-0.12896634859229966,0.7229279349944273,-0.0011874606162869277,-0.75,0.11526948782093671,4.85361308998075
8000.0,0.2285549958306321,full,fg2_miss,-0.6,-0.6177459088668602,-0.017745908866860227,0.015065308301884196,-0.15185151457540907,-0.152436683690994,0.8147401370162548,-0.0025959491012653695,-0.75,0.15760440252828556,9.106750347192644
8000.0,0.2285549958306321,full,orb,0.5,0.5994689487106983,0.09946894871069833,0.047229536940611605,0.3139678143614047,0.2993330368071347,0.9391902789479301,0.016693375859316024,0.75,0.05632670444918529,0.8435487363952092
8000.0,0.2285549958306321,full,tov,-1.0,-1.0084760138894784,-0.008476013889478384,0.03194853055537822,-0.038657865212013025,-0.0434766158847722,0.9341802085936693,0.0,-1.0,0.07942902472483779,1.6570186457186484
8000.0,0.2285549958306321,loo,fg3m,1.6,1.4691375516625529,-0.1308624483374472,0.03526719153277457,-0.5032470795215916,-0.5057597202479821,0.8655915575836163,-0.08953188281628173,3.0,0.06954800621802508,1.5853920355038893
