lam_ratio,lam,mean_mse,diff_vs_best,diff_se,in_1se_band,reml_neg2ll
0.25,60000.0,7082.733696443129,5.5336311552942785,0.3377246025051287,False,113.82440239773132
0.33,100.0,7257.424086809877,180.22402152204123,5.567392765712704,False,7062.304349184502
0.33,126.73439348306668,7242.17579973304,164.9757344452035,5.355997513762503,False,6191.9644923442975
0.33,160.61606491520791,7226.64661333278,149.44654804494567,5.125541786338181,False,5377.843379200203
0.33,203.55579570665742,7211.034009988051,133.83394470021594,4.876382584802113,False,4623.057884966489
0.33,257.9752030884629,7195.5592711331265,118.3592058452914,4.610300979895601,False,3930.0796648589894
0.33,326.9433089708729,7180.456229521327,103.25616423349075,4.330207835768573,False,3300.5804589665495
0.33,414.3496196577045,7165.957246265925,88.75718097809059,4.03972617090322,False,2735.304311709013
0.33,525.1234773725855,7152.278364237727,75.07829894989246,3.7427889666229044,False,2233.983150352491
0.33,665.5120540853359,7139.6058099098755,62.40574462203858,3.4433620382854655,False,1795.3088533016853
0.33,843.4326653017499,7128.085671851729,50.88560656389272,3.145324693435399,False,1416.968299510423
0.33,1068.9192728082367,7117.817803678331,40.617738390495106,2.8524463829559226,False,1095.739475033246
0.33,1354.6883572171257,7108.85409478843,31.65402950059488,2.5683325034572655,False,827.6388763580471
0.33,1716.8560731048442,7101.200560216297,24.000494928461194,2.296225928834779,False,608.1051007830538
0.33,2175.8471312266224,7094.822384102465,17.6223188146294,2.038657069281749,False,432.20117093017325
0.33,2757.546664878766,7089.651022035752,12.450956747916644,1.7970804753766492,False,294.8180847829208
0.33,3494.760040746641,7085.592512431516,8.39244714368142,1.5717153284408139,False,190.8634133739397
0.33,4429.06294132883,7082.536140372448,5.33607508461373,1.3617445426643504,False,115.42129828967154
0.33,5613.146055676366,7080.362590250603,3.162524962767384,1.1658542129470717,False,63.87430209480226
0.33,7113.78660898013,7078.950833922756,1.750768634920314,0.9829382825532713,False,31.98322060983628
0.33,9015.614312570586,7078.1832570974275,0.9831918095926084,0.8127685505453697,False,15.927176436409354
0.33,11425.884117808895,7077.948853617522,0.748788329686431,0.6565580082319995,False,12.311547215096653
0.33,14480.524936783147,7078.144646070616,0.9445807827789394,0.5175720392578343,False,18.154418508289382
0.33,18351.805451796346,7078.675805799857,1.4757405120208205,0.40215202421688223,False,30.862952559487894
0.33,23258.049332526516,7079.455201682387,2.255136394551664,0.3209757804538048,False,48.209414509590715
0.33,29475.94775756986,7080.403170605871,3.2031053180357048,0.286206145575224,False,68.3128331839107
0.33,37356.16361394183,7081.448048550784,4.247983262947855,0.2978266420804872,False,89.62714094505645
0.33,47343.107384671224,7082.5274864599605,5.327421172124195,0.33835779964252805,False,110.93177566444501
0.33,60000.0,7083.590063245775,6.3899979579393404,0.38946061140919724,False,131.31815853668377
0.5,100.0,7245.554371269192,168.35430598135753,5.4907304312431195,False,6199.236524719279
0.5,126.73439348306668,7229.688758555855,152.48869326801886,5.261765898692954,False,5371.250558627071
0.5,160.61606491520791,7213.629735500494,136.42967021265866,5.004750414101309,False,4603.216584425187
0.5,203.55579570665742,7197.614042301551,120.41397701371625,4.720671814973603,False,3898.0823928485624
0.5,257.9752030884629,7181.902484271093,104.70241898325858,4.412791245217078,False,3258.003438636195
0.5,326.9433089708729,7166.764353223063,89.564287935227,4.086117180807677,False,2684.164773835102
0.5,414.3496196577045,7152.4588117187905,75.25874643095467,3.746750975654436,False,2176.640551327262
0.5,525.1234773725855,7139.215780250405,62.015714962568744,3.40128276661752,False,1734.3146675075404
0.5,665.5120540853359,7127.219155280353,50.019089992518275,3.0563266737646995,False,1354.8809124082327
0.5,843.4326653017499,7116.594865302852,39.394800015015974,2.7181760472260854,False,1034.9307629894465
0.5,1068.9192728082367,7107.405411069281,30.20534578144543,2.392500226219685,False,770.1237954781391
