window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
2015-2017,2016.0,TOV,tov,defense,-0.6377,0.181,-0.9924,-0.283
2018-2020,2019.0,TOV,tov,defense,-0.783,0.1983,-1.1716,-0.3944
2021-2023,2022.0,TOV,tov,defense,-0.6463,0.1837,-1.0063,-0.2864
2024-2026,2025.0,TOV,tov,defense,-1.0173,0.1815,-1.3729,-0.6616
1997-1999,1998.0,AST,ast,offense,0.4928,0.0624,0.3705,0.6152
2000-2002,2001.0,AST,ast,offense,0.4676,0.0579,0.3541,0.5811
2003-2005,2004.0,AST,ast,offense,0.5761,0.0606,0.4574,0.6948
2006-2008,2007.0,AST,ast,offense,0.3949,0.0577,0.2819,0.508
2009-2011,2010.0,AST,ast,offense,0.5076,0.0599,0.3902,0.625
2012-2014,2013.0,AST,ast,offense,0.4947,0.0593,0.3784,0.6109
2015-2017,2016.0,AST,ast,offense,0.4419,0.0597,0.3248,0.559
2018-2020,2019.0,AST,ast,offense,0.4212,0.0622,0.2993,0.543
2021-2023,2022.0,AST,ast,offense,0.4103,0.0609,0.2909,0.5297
2024-2026,2025.0,AST,ast,offense,0.3948,0.0544,0.2883,0.5014
1997-1999,1998.0,BLK,blk,offense,-0.0256,0.115,-0.2509,0.1998
2000-2002,2001.0,BLK,blk,offense,-0.1267,0.1187,-0.3594,0.1059
2003-2005,2004.0,BLK,blk,offense,-0.0128,0.1178,-0.2436,0.218
2006-2008,2007.0,BLK,blk,offense,-0.1999,0.1227,-0.4404,0.0406
2009-2011,2010.0,BLK,blk,offense,-0.1088,0.14,-0.3831,0.1656
2012-2014,2013.0,BLK,blk,offense,-0.028,0.1383,-0.2992,0.2431
2015-2017,2016.0,BLK,blk,offense,-0.2392,0.1482,-0.5298,0.0513
2018-2020,2019.0,BLK,blk,offense,-0.0094,0.157,-0.3172,0.2984
2021-2023,2022.0,BLK,blk,offense,-0.1739,0.1671,-0.5015,0.1538
2024-2026,2025.0,BLK,blk,offense,-0.4099,0.1527,-0.7093,-0.1106
1997-1999,1998.0,DRB,drb,offense,0.1635,0.0706,0.0251,0.3019
2000-2002,2001.0,DRB,drb,offense,0.0728,0.0665,-0.0575,0.203
2003-2005,2004.0,DRB,drb,offense,-0.0296,0.0697,-0.1661,0.107
2006-2008,2007.0,DRB,drb,offense,0.0719,0.0662,-0.0578,0.2017
2009-2011,2010.0,DRB,drb,offense,0.0767,0.0621,-0.045,0.1985
2012-2014,2013.0,DRB,drb,offense,-0.0181,0.0622,-0.14,0.1038
