lam,ratio,cp_total,cu_total,R_total,c_total,cp_off,cu_off,R_off,c_off,cp_def,cu_def,R_def,c_def
989.8464007679534,0.2872,0.3064954687217481,0.1914461970801211,0.5733965591427483,1.6009483259334651,0.24014726680569032,0.08333817517066036,0.6051519263097289,2.8815997748200686,0.36286860568872836,0.1794589532571755,0.5733944056165138,2.022014500266898
1292.1832594791324,0.2872,0.3064353529690674,0.199929647144726,0.5745263759988136,1.5327159195516589,0.23985281193497499,0.09015878153147766,0.6056691010066501,2.6603377714375362,0.3631403615439345,0.18467947712724533,0.5741068138989366,1.9663276461072523
1686.8653306034985,0.2872,0.306402729453777,0.21001051635795992,0.5756798501403153,1.4589875534209817,0.23955044299194544,0.0986059154683834,0.6062361908837575,2.4293719281857276,0.36345244078351013,0.19115400613461633,0.5749224623057023,1.9013592659290444
2202.0983654741444,0.2872,0.3063921784269945,0.22195295056595246,0.5768188112184258,1.3804375100476587,0.23924574303718094,0.10906152866334236,0.6068451179733649,2.1936767801568138,0.36379776737772873,0.1991595722758977,0.5758430116337417,1.8266647353196568
2874.703228081056,0.2872,0.30638939956334127,0.23607192719417439,0.5779008903829582,1.2978646093371755,0.23894464210635655,0.12199854642691277,0.6074849442487891,1.958585975854263,0.3641634897670005,0.20903014412199145,0.5768652573140757,1.7421577700988053
3752.747279189005,0.2872,0.30637099148545904,0.2527496564160535,0.5788830737948669,1.2121519602825452,0.2386533146184548,0.13799872435190444,0.608141934715566,1.7293878312228128,0.364531202619116,0.22116695523123092,0.5779794089545416,1.6482173037016183
4898.979485566359,0.2872,0.306306171466154,0.2724545350447815,0.5797249721273101,1.1242469185393025,0.23837823914468786,0.15777143113681114,0.6087996037558843,1.51090877117023,0.36487798939449156,0.23604804944732588,0.5791667501346744,1.5457784559067669
6395.314742640107,0.2872,0.3061604924074694,0.29575884738950287,0.5803902076425601,1.0351693452614386,0.23812641275371813,0.1821736226751076,0.6094388311540999,1.30713991003186,0.36517827969425876,0.2542346709992515,0.5803965657972463,1.436382686354112
8348.687880390582,0.2872,0.30590111604119363,0.3233500352856443,0.5808448478470128,0.9460370578619653,0.23790558141095158,0.21223342771061116,0.6100382894612048,1.120961876633993,0.3654065312533665,0.276371587585521,0.5816225986751061,1.3221566458610523
10898.695706007875,0.2872,0.30550281367399595,0.3560308781078742,0.5810531994164165,0.8580795443855611,0.23772420640730213,0.24918419936462113,0.6105755462201649,0.9540099533335576,0.36554074609984255,0.3031787332209266,0.5827798959558312,1.2056938895957214
14227.57321796025,0.2872,0.30495370820627665,0.39470724817618896,0.5809729715713332,0.7726073174874959,0.23759084140462963,0.2945226488472668,0.6110291637464934,0.8066980326794466,0.3655666745092399,0.33543377199149005,0.5837836381838366,1.089832643680596
18573.216936484812,0.2872,0.30425976745327155,0.4403689440760765,0.5805530249953965,0.6909201285563605,0.2375127656614975,0.3501117194659639,0.6113817839084725,0.6783913604028536,0.365482147558531,0.3739508758160835,0.5845321718463196,0.9773533669654577
24246.18605611949,0.2872,0.30344703121351135,0.49407969342952757,0.5797369363432131,0.6141661664077136,0.2374941266464658,0.418351568420379,0.6116235645803574,0.5676902982417427,0.3653003728976145,0.4195712184023207,0.5849164999666405,0.8706516483390749
31651.896398902696,0.2872,0.302560493285441,0.5570052449003007,0.5784740219198472,0.5431914619396391,0.23753429112903418,0.5024359715174956,0.6117547413098875,0.47276529666380157,0.36505055165487876,0.4731935907091889,0.5848371817703405,0.7714613190507651
41319.593247698205,0.2872,0.3016587939273394,0.6305183439683493,0.5767363522894926,0.47842984555970675,0.23762722518295704,0.6066982188905378,0.6117860560606894,0.3916728577471404,0.3647743637328108,0.5358821706745509,0.5842264953816625,0.6806988246570039
53940.17358828521,0.2872,0.3008048621860298,0.7164174979765429,0.5745365624173743,0.41987369520653284,0.23776231162701855,0.737040243240463,0.6117365933137143,0.3225906777921317,0.3645181478195336,0.6090823780618988,0.5830696513004616,0.5984710130334603
70415.56070730239,0.2872,0.30005437789092576,0.8172759013696892,0.5719388608912,0.367139637162993,0.23792630326908368,0.9014428349601049,0.6116297628865569,0.2639394247108454,0.36432270611503703,0.6949498035558919,0.5814163865385003,0.5242431960565855
91923.1596763094,0.2872,0.29944550704145895,0.9369028850028123,0.5690567791006208,0.3196121090400529,0.2381056168890669,1.1105751843689524,0.611488930703251,0.21439846688485348,0.36421435572460875,0.7967626343215152,0.5793763035122894,0.45711776636558293
120000.0,0.2872,0.29899345450781173,1.080874436838317,0.5660364337300339,0.2766218205533681,0.2382881963684023,1.3785494969549206,0.6113340717768876,0.17285429133647892,0.36420067333202727,0.9193707465298665,0.5770980292102216,0.3961412462890409
200.0,0.5,0.30706580807043055,0.16479522798937146,0.5682991346591705,1.863317353401974,0.24154453460024658,0.06291506932869628,0.6031895258501079,3.839215901333758,0.3623079116367156,0.16739525985211923,0.571613706196354,2.1643857296603657
