feature,season,value,pd,side
ast,1998,-3.1097732913261584,-0.08456449956793358,D
ast,1998,-1.4808999581648972,-0.1714039373938605,D
ast,1998,3.3824292743690814,-0.2517071149010943,D
ast,2004,-3.1097732913261584,-0.08456449956793358,D
ast,2004,-1.4808999581648972,-0.1714039373938605,D
ast,2004,3.3824292743690814,-0.2517071149010943,D
ast,2010,-3.1097732913261584,-0.08134037114501111,D
ast,2010,-1.4808999581648972,-0.16844588180881276,D
ast,2010,3.3824292743690814,-0.24845873993595424,D
ast,2016,-3.1097732913261584,-0.07653841843802216,D
ast,2016,-1.4808999581648972,-0.1626453508093235,D
ast,2016,3.3824292743690814,-0.2573854665702733,D
ast,2022,-3.1097732913261584,-0.07223412318562082,D
ast,2022,-1.4808999581648972,-0.15730029239306584,D
ast,2022,3.3824292743690814,-0.2531466135904434,D
ast,2025,-3.1097732913261584,-0.07223412318562082,D
ast,2025,-1.4808999581648972,-0.15730029239306584,D
ast,2025,3.3824292743690814,-0.2531466135904434,D
stl,1998,-0.6052010560624157,0.03877637247937567,D
stl,1998,-0.09947668693971279,-0.0694052773009357,D
stl,1998,0.6102202727733135,-0.4275544217296738,D
stl,2004,-0.6052010560624157,0.03877637247937567,D
stl,2004,-0.09947668693971279,-0.0694052773009357,D
stl,2004,0.6102202727733135,-0.4275544217296738,D
stl,2010,-0.6052010560624157,0.040415545377062205,D
stl,2010,-0.09947668693971279,-0.06718825158696295,D
stl,2010,0.6102202727733135,-0.4300638161217228,D
stl,2016,-0.6052010560624157,0.04163040562099542,D
stl,2016,-0.09947668693971279,-0.06644974265930234,D
stl,2016,0.6102202727733135,-0.41713048366922384,D
stl,2022,-0.6052010560624157,0.0495510494741648,D
stl,2022,-0.09947668693971279,-0.06382755225744172,D
stl,2022,0.6102202727733135,-0.41327935050429127,D
stl,2025,-0.6052010560624157,0.0495510494741648,D
stl,2025,-0.09947668693971279,-0.06382755225744172,D
stl,2025,0.6102202727733135,-0.41327935050429127,D
fg3m,1998,-1.4943271047261033,-0.22101369628062542,D
fg3m,1998,-0.4566928566436359,-0.15702962039958437,D
fg3m,1998,1.4476130023159006,-0.10236125176062999,D
fg3m,2004,-1.4943271047261033,-0.22101369628062542,D
fg3m,2004,-0.4566928566436359,-0.15702962039958437,D
fg3m,2004,1.4476130023159006,-0.10236125176062999,D
fg3m,2010,-1.4943271047261033,-0.21926531105186048,D
fg3m,2010,-0.4566928566436359,-0.1552812351708194,D
fg3m,2010,1.4476130023159006,-0.10061286653186503,D
fg3m,2016,-1.4943271047261033,-0.21456477085989512,D
fg3m,2016,-0.4566928566436359,-0.15058069497885404,D
fg3m,2016,1.4476130023159006,-0.09591232633989968,D
fg3m,2022,-1.4943271047261033,-0.21037620505837434,D
fg3m,2022,-0.4566928566436359,-0.1463921291773333,D
fg3m,2022,1.4476130023159006,-0.0917237605383789,D
fg3m,2025,-1.4943271047261033,-0.21037620505837434,D
fg3m,2025,-0.4566928566436359,-0.1463921291773333,D
fg3m,2025,1.4476130023159006,-0.0917237605383789,D
blk,1998,-0.7906235968784613,0.10187869848520936,D
blk,1998,-0.2699260608113543,-0.043985995688137755,D
blk,1998,1.3126984165748976,-0.6583971928335607,D
blk,2004,-0.7906235968784613,0.10187869848520936,D
blk,2004,-0.2699260608113543,-0.043985995688137755,D
blk,2004,1.3126984165748976,-0.6583971928335607,D
blk,2010,-0.7906235968784613,0.10278554560824661,D
blk,2010,-0.2699260608113543,-0.043142785773936355,D
blk,2010,1.3126984165748976,-0.6559229898800727,D
