side,input,coef_std,coef_raw,window,n
D,age3,-8.734827343463428,-0.0008545219971546816,2018-2020,4729
O,share,1.1674219720560095,7.068138925381706,2021-2023,4717
O,share2,0.5521907961000111,3.5828883656872126,2021-2023,4717
O,gs_pct,-1.791719831124229,-5.205400874750541,2021-2023,4717
O,gs_pct2,1.6828334399461788,4.312420966673346,2021-2023,4717
O,age,9.210594765048247,2.229712232186682,2021-2023,4717
O,age2,-16.561763656824,-0.0707327741364723,2021-2023,4717
O,age3,7.4780399865675715,0.0007320605922349133,2021-2023,4717
D,share,-0.6861139284844291,-4.151927019460685,2021-2023,4720
D,share2,1.6366727651856692,10.617932021855134,2021-2023,4720
D,gs_pct,-0.25400564776566015,-0.7377393853944583,2021-2023,4720
D,gs_pct2,-0.94077651251382,-2.4107117081041394,2021-2023,4720
D,age,-8.728423966238614,-2.1129705342670086,2021-2023,4720
D,age2,15.72820226199137,0.06717178987381398,2021-2023,4720
D,age3,-7.247134968261531,-0.000709442324208272,2021-2023,4720
O,share,1.2791490607152949,7.764707071763959,2024-2026,4669
O,share2,0.44286139312717543,2.8736896829272096,2024-2026,4669
O,gs_pct,-1.9534634339807129,-5.673967346634891,2024-2026,4669
O,gs_pct2,1.8549076185310027,4.752049464175425,2024-2026,4669
O,age,8.238629848703015,1.9993854201613073,2024-2026,4669
O,age2,-14.661410989366823,-0.06292348836795744,2024-2026,4669
O,age3,6.546388068791478,0.0006457840849238834,2024-2026,4669
D,share,-0.7145322446850262,-4.335005342744447,2024-2026,4673
D,share2,1.6663979164022535,10.811364760291053,2024-2026,4673
D,gs_pct,-0.2536703168240148,-0.7365801381249365,2024-2026,4673
D,gs_pct2,-0.939447319209856,-2.406621092069462,2024-2026,4673
D,age,-12.010052215806317,-2.9146390440367633,2024-2026,4673
D,age2,22.4136519805057,0.09619343133513059,2024-2026,4673
D,age3,-10.688526358122663,-0.0010543798751373457,2024-2026,4673
