side,feature,beta,se,run,window,window_mid,first_season,last_season,lam,label,sign_convention
O,fg3m,0.44891045075882435,0.24150522833607538,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,3PM (offense),D flipped: positive = good on both sides
O,fg3_miss,0.2852324332984038,0.1438398658897997,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,3P miss (offense),D flipped: positive = good on both sides
O,fg2m,0.6783668976013066,0.08583507081242604,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,2PM (offense),D flipped: positive = good on both sides
O,fg2_miss,-0.507682047420376,0.07439271485132824,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,2P miss (offense),D flipped: positive = good on both sides
O,ftm,0.5516939488534811,0.08247191950977657,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,FTM (offense),D flipped: positive = good on both sides
O,ft_miss,-0.17960660834318226,0.18189652286481398,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,FT miss (offense),D flipped: positive = good on both sides
O,orb,0.32327366779070743,0.11320109220171841,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,ORB (offense),D flipped: positive = good on both sides
O,drb,0.08192544910410127,0.07146903789355301,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,DRB (offense),D flipped: positive = good on both sides
O,ast,0.46299909841179754,0.06253793709713949,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,AST (offense),D flipped: positive = good on both sides
O,tov,-0.6963436827674078,0.17319573373262356,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,TOV (offense),D flipped: positive = good on both sides
O,stl,0.3143677325316793,0.2011664498325177,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,STL (offense),D flipped: positive = good on both sides
O,blk,0.13277885295801248,0.12661905849780344,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,BLK (offense),D flipped: positive = good on both sides
