lam,ratio,n,corr_off,corr_def,corr_total,alpha,sd_rating
2202.0983654741444,0.18,2133,0.5898573627262085,0.5485288354753949,0.5680911247609624,0.5563360026142289,3.5233481515123968
2874.703228081056,0.18,2133,0.595708508939418,0.5518117755441168,0.571422592274174,0.5794034859842752,3.4525716643393496
3752.747279189005,0.18,2133,0.6008372213673221,0.5555561301305397,0.574450347850586,0.6050085660004698,3.3787827250962597
4898.979485566359,0.18,2133,0.6050023344689908,0.5597267661287667,0.577034835314186,0.6329818757913239,3.303325194449752
6395.314742640107,0.18,2133,0.6080439707479165,0.5642343127746039,0.5790327154530015,0.6630174610648876,3.2276637906333216
8348.687880390582,0.18,2133,0.6099092689410255,0.5689185012453917,0.5802966976742565,0.6946548370202896,3.1533185429422925
10898.695706007875,0.18,2133,0.6106558833904976,0.5735363651099364,0.5806774648900147,0.7272687465249382,3.08180017764445
14227.57321796025,0.18,2133,0.6104324412896251,0.5777633170214537,0.5800329331782537,0.7600799449959937,3.014533834483978
18573.216936484812,0.18,2133,0.6094437688666914,0.5812159417790124,0.578248231183405,0.7922029569933176,2.952760190229534
24246.18605611949,0.18,2133,0.6079129599509181,0.5835012672025663,0.5752641339496157,0.8227381267578786,2.897419667634208
31651.896398902696,0.18,2133,0.6060505955588457,0.5842869218703066,0.571104840401732,0.8508945435313392,2.8490477844258515
41319.593247698205,0.18,2133,0.6040359277376645,0.5833732706268903,0.5658926116955203,0.8761078210367765,2.807721468485039
53940.17358828521,0.18,2133,0.6020093843683163,0.5807410125338344,0.5598403303490836,0.8981092865898226,2.7730857115982666
70415.56070730239,0.18,2133,0.6000728025016246,0.5765541847993533,0.5532223410554491,0.9169205178246705,2.744460370026854
91923.1596763094,0.18,2133,0.5982935893076987,0.5711179413962123,0.5463333754793877,0.9327805038037266,2.720994947994848
120000.0,0.18,2133,0.5967103028065659,0.5648105231262059,0.5394491942764442,0.9460405730555643,2.7018229719006195
200.0,0.2872,2133,0.5425643806962497,0.5362084930255115,0.542266407153597,0.4512237014784311,3.91149274803589
261.08763106611656,0.2872,2133,0.5458315371542017,0.5370828801053711,0.5442231981869728,0.457178490367403,3.886030994372589
340.83375547858265,0.2872,2133,0.5496713806489206,0.5381672061696973,0.5465149398350141,0.4644624394763182,3.8555239463475464
444.93738902635585,0.2872,2133,0.5541074489888584,0.539500386778155,0.5491497755815659,0.4733169728755328,3.81937110001916
580.8382443681718,0.2872,2133,0.5591341529303706,0.5411251495465136,0.5521201674463971,0.4840060694604718,3.777043233851764
758.2484062734396,0.2872,2133,0.5647068800914803,0.543086529913463,0.555398644564247,0.4968076759505761,3.7281493466049764
989.8464007679534,0.2872,2133,0.5707326774177971,0.5454290615745373,0.5589334378266843,0.5119988933711005,3.67251579537123
1292.1832594791324,0.2872,2133,0.5770634206057841,0.5481922285088505,0.562644452523624,0.5298338309016806,3.6102677026344163
1686.8653306034985,0.2872,2133,0.5834943003844629,0.5514036848963675,0.5664203223597268,0.5505138452662128,3.541897356743964
2202.0983654741444,0.2872,2133,0.5897711686756301,0.5550697237548662,0.5701174677800542,0.57415109012176,3.4683024071221507
2874.703228081056,0.2872,2133,0.5956098699084943,0.5591626445482164,0.5735619619540454,0.6007277432344578,3.390780236656544
3752.747279189005,0.2872,2133,0.6007281148607623,0.5636053264013957,0.5765546595210961,0.6300550072287956,3.310973202290827
4898.979485566359,0.2872,2133,0.6048856418560022,0.5682548097669238,0.5788799098449549,0.661738422842027,3.230768556175201
6395.314742640107,0.2872,2133,0.6079231240809492,0.5728891681626583,0.580318637162359,0.6951595467136084,3.1521626074622486
8348.687880390582,0.2872,2133,0.6097878437131967,0.5772048544170454,0.5806671854105769,0.7294875888478379,3.077100577513868
10898.695706007875,0.2872,2133,0.6105372567317789,0.5808332916627147,0.5797626834369597,0.7637345299406068,3.007305707076242
14227.57321796025,0.2872,2133,0.6103195816285476,0.5833829898989392,0.5775125568843242,0.7968584493183258,2.944117736872107
18573.216936484812,0.2872,2133,0.6093391428985255,0.5845048197659335,0.5739210035309292,0.8279007626535432,2.8883700977212627
24246.18605611949,0.2872,2133,0.6078184944807912,0.5839650275971358,0.5691021515220899,0.8561215172832859,2.8403379847938646
31651.896398902696,0.2872,2133,0.6059676416971169,0.5817006102781376,0.5632718905945939,0.8810881978014194,2.799776977324813
41319.593247698205,0.2872,2133,0.603965217344944,0.5778340901966147,0.5567181725847369,0.9026883937102055,2.766045069788946
