window,side,n,share_mean,share_sd,gs_pct_mean,gs_pct_sd,age_mean,age_sd,apm_mean,apm_sd,spm_mean,spm_sd,u_mean,u_sd,rapm1_mean,rapm1_sd
2012-2014,D,657,0.47045621878361765,0.16049837429075484,0.6012264028471034,0.3498605853596543,27.04565019001421,4.070224508727083,-0.47300306365102207,2.8696059961484646,1.8060283283705347e-17,0.7622826142846143,-0.10119290445991491,1.0899445555482543,-0.10119290445991488,1.3942494498354727
2012-2014,O,657,0.47071611578299405,0.16043666875499824,0.6017515501507761,0.3497908915197837,27.04631883995017,4.07021741046563,1.585377833178139,3.0096139012184837,1.6254254955334812e-16,1.576558407108948,0.012270712903527952,0.6455533498157077,0.012270712903528127,1.6743201602739983
2015-2017,D,665,0.453093503897306,0.15034719199776164,0.585094921910032,0.3525173856852363,27.129660503100293,4.061268382425881,-0.6589701126829215,2.810812098808054,-3.2814724607363124e-17,0.8071022671555723,-0.10311774073593498,1.0788334189688293,-0.10311774073593502,1.3234793519922974
2015-2017,O,665,0.45328083407998243,0.15031037172703207,0.5855151943061181,0.3524897687556887,27.130037729147844,4.0616028988763855,1.5989279259683404,3.2245956389306927,-2.2970307225154185e-16,1.4538975855172385,0.047748448241510776,0.653862438732348,0.047748448241510484,1.7032816179129455
2018-2020,D,779,0.4415940866807956,0.14856048307455244,0.5846166557926243,0.3523287157780099,26.716409489028422,4.0650021392982305,-0.3808487205197827,2.587988474726505,6.629819544968055e-17,0.8320279013143448,-0.08517183402411692,0.9890887497706219,-0.08517183402411688,1.286821833180503
2018-2020,O,779,0.44177214193448683,0.14851385585834537,0.5850526487257686,0.35230218245296796,26.71713503062471,4.065749660057512,1.294141160911048,2.895419435234417,-1.325963908993611e-16,1.451892656105903,0.018550516870432205,0.5836749042431718,0.01855051687043206,1.5984228098207525
2021-2023,D,784,0.42319305420936576,0.14746845363748326,0.5949156651418298,0.35078503231121444,26.526739074080357,4.160850891798337,-0.4360008329930153,2.4428553129397432,9.927810142282852e-17,0.9114990523157874,-0.00942319355796987,0.9583838583266103,-0.0094231935579697,1.2361206671445952
2021-2023,O,784,0.4233621503685946,0.14743588350119738,0.5953720057896578,0.3507689483712501,26.5266803208205,4.160762176143523,1.6340751455038465,3.007092893197179,-9.927810142282852e-17,1.4069516981309258,0.03681601037737789,0.6255727190762673,0.036816010377377785,1.5729350183840587
2024-2026,D,802,0.4202288940169467,0.1496557192437405,0.5914154953955024,0.34925181570736585,26.673719781277022,4.255103577025221,-0.4038930318022579,2.7539301280914406,0.0,0.9036223236944001,-0.031661125815704634,1.1634170417116005,-0.031661125815704634,1.4046702170985939
2024-2026,O,802,0.4204108743174938,0.1496018339760653,0.5918378664459104,0.34922524685142703,26.674239745451278,4.254805575845182,1.6424578807754313,2.9331815076164878,-6.342759327065951e-17,1.4601219320162895,0.032025245094848505,0.6497659769210072,0.03202524509484835,1.6046056679607617
