window,window_mid,feature_i,feature_j,corr,sd_i
1997-1999,1998.0,blk,fg3m,-0.4699,1.0807
1997-1999,1998.0,blk,fg3_miss,-0.4931,1.0807
1997-1999,1998.0,blk,fg2m,0.2893,1.0807
1997-1999,1998.0,blk,fg2_miss,0.1724,1.0807
1997-1999,1998.0,blk,ftm,0.0884,1.0807
1997-1999,1998.0,blk,ft_miss,0.4645,1.0807
1997-1999,1998.0,blk,orb,0.595,1.0807
1997-1999,1998.0,blk,drb,0.6071,1.0807
1997-1999,1998.0,blk,ast,-0.4544,1.0807
1997-1999,1998.0,blk,tov,-0.0218,1.0807
1997-1999,1998.0,blk,stl,-0.2775,1.0807
1997-1999,1998.0,blk,blk,1.0,1.0807
1997-1999,1998.0,blk,pf,0.4177,1.0807
1997-1999,1998.0,pf,fg3m,-0.4659,1.5298
1997-1999,1998.0,pf,fg3_miss,-0.4745,1.5298
1997-1999,1998.0,pf,fg2m,-0.0409,1.5298
1997-1999,1998.0,pf,fg2_miss,-0.038,1.5298
1997-1999,1998.0,pf,ftm,-0.1679,1.5298
1997-1999,1998.0,pf,ft_miss,0.233,1.5298
1997-1999,1998.0,pf,orb,0.5108,1.5298
1997-1999,1998.0,pf,drb,0.3402,1.5298
1997-1999,1998.0,pf,ast,-0.4772,1.5298
1997-1999,1998.0,pf,tov,-0.0575,1.5298
1997-1999,1998.0,pf,stl,-0.2349,1.5298
1997-1999,1998.0,pf,blk,0.4177,1.5298
1997-1999,1998.0,pf,pf,1.0,1.5298
2000-2002,2001.0,fg3m,fg3m,1.0,1.0434
2000-2002,2001.0,fg3m,fg3_miss,0.9546,1.0434
2000-2002,2001.0,fg3m,fg2m,-0.3481,1.0434
2000-2002,2001.0,fg3m,fg2_miss,-0.2779,1.0434
2000-2002,2001.0,fg3m,ftm,-0.0985,1.0434
2000-2002,2001.0,fg3m,ft_miss,-0.4195,1.0434
2000-2002,2001.0,fg3m,orb,-0.6425,1.0434
2000-2002,2001.0,fg3m,drb,-0.5072,1.0434
2000-2002,2001.0,fg3m,ast,0.3058,1.0434
2000-2002,2001.0,fg3m,tov,-0.0592,1.0434
2000-2002,2001.0,fg3m,stl,0.2074,1.0434
2000-2002,2001.0,fg3m,blk,-0.4579,1.0434
2000-2002,2001.0,fg3m,pf,-0.4727,1.0434
2000-2002,2001.0,fg3_miss,fg3m,0.9546,1.7384
2000-2002,2001.0,fg3_miss,fg3_miss,1.0,1.7384
2000-2002,2001.0,fg3_miss,fg2m,-0.3384,1.7384
2000-2002,2001.0,fg3_miss,fg2_miss,-0.2407,1.7384
2000-2002,2001.0,fg3_miss,ftm,-0.0945,1.7384
2000-2002,2001.0,fg3_miss,ft_miss,-0.4004,1.7384
2000-2002,2001.0,fg3_miss,orb,-0.6644,1.7384
2000-2002,2001.0,fg3_miss,drb,-0.5359,1.7384
2000-2002,2001.0,fg3_miss,ast,0.3595,1.7384
2000-2002,2001.0,fg3_miss,tov,0.0149,1.7384
2000-2002,2001.0,fg3_miss,stl,0.2644,1.7384
2000-2002,2001.0,fg3_miss,blk,-0.4818,1.7384
2000-2002,2001.0,fg3_miss,pf,-0.4814,1.7384
2000-2002,2001.0,fg2m,fg3m,-0.3481,2.2963
2000-2002,2001.0,fg2m,fg3_miss,-0.3384,2.2963
2000-2002,2001.0,fg2m,fg2m,1.0,2.2963
2000-2002,2001.0,fg2m,fg2_miss,0.8787,2.2963
2000-2002,2001.0,fg2m,ftm,0.6685,2.2963
2000-2002,2001.0,fg2m,ft_miss,0.5278,2.2963
2000-2002,2001.0,fg2m,orb,0.2401,2.2963
2000-2002,2001.0,fg2m,drb,0.2827,2.2963
2000-2002,2001.0,fg2m,ast,-0.0471,2.2963
2000-2002,2001.0,fg2m,tov,0.4222,2.2963
