window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,prior_off_po,prior_total_po,rapm_mm_off_po,rapm_mm_total_po,prior_def_po,rapm_mm_def_po,rating_off_po,rating_def_po,rating_total_po,rating_off_raw,rating_def_raw,rating_off_po_raw,rating_def_po_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1628369,Jayson Tatum,11748.0,11698.0,0.39,3.874,-0.0,3.874,-0.269,0.184,-0.085,-0.316,0.506,0.19,-0.316,0.506,0.19,3.558,0.506,4.064,3.671,0.538,4.208,3.287,3.287,2.971,3.476,-0.0,0.506,3.055,0.538,3.592,3.558,0.506,2.971,0.506,jayson tatum,Jayson Tatum,Boston Celtics,3.7,1.4,5.0,1.805,2.216,-0.411,20.0,10.5,-9.5,2.214,2.112,0.102,18.0,16.0,-2.0,0.283,1.251,-0.969,170.0,52.5,-117.5,-0.405,5793.0,0.764,0.522,7.836,5.469,3.269,guard,3000+
2024-2026,2025.0,1626181,Norman Powell,11813.0,11811.0,0.392,1.252,-0.0,1.252,-0.548,-0.144,-0.692,0.415,1.022,1.437,0.415,1.022,1.437,1.668,1.022,2.69,1.667,1.115,2.782,1.274,1.274,1.689,2.711,-0.0,1.022,1.691,1.115,2.805,1.668,1.022,1.689,1.022,norman powell,Norman Powell,Miami Heat,1.5,0.2,1.7,1.211,0.861,0.35,55.0,89.0,34.0,1.1,0.987,0.112,57.0,67.5,10.5,0.741,0.153,0.588,96.0,191.5,95.5,-0.718,5668.0,0.375,0.286,3.36,2.223,3.188,guard,3000+
2024-2026,2025.0,1631128,Christian Braun,11814.0,11829.0,0.392,-0.792,-0.0,-0.792,0.553,0.059,0.611,0.537,0.953,1.49,0.537,0.953,1.49,-0.255,0.953,0.698,-0.237,1.035,0.798,-1.169,-1.169,-0.632,0.321,-0.0,0.953,-0.578,1.035,0.457,-0.255,0.953,-0.632,0.953,christian braun,Christian Braun,Denver Nuggets,0.9,0.7,1.6,0.385,0.82,-0.435,149.0,94.0,-55.0,0.04,0.68,-0.64,202.0,97.5,-104.5,0.677,0.61,0.067,104.0,125.0,21.0,1.396,5731.0,1.495,0.528,4.328,2.871,1.225,wing,3000+
2024-2026,2025.0,1630577,Julian Champagnie,11818.0,11867.0,0.392,-0.328,-0.0,-0.328,0.641,-0.151,0.49,0.432,1.1,1.532,0.432,1.1,1.532,0.104,1.1,1.204,0.099,1.203,1.303,-0.051,-0.051,0.381,1.481,-0.0,1.1,0.366,1.203,1.57,0.104,1.1,0.381,1.1,julian champagnie,Julian Champagnie,San Antonio Spurs,1.3,0.5,1.8,0.595,0.902,-0.307,112.0,85.5,-26.5,0.227,0.885,-0.658,158.0,77.5,-80.5,0.811,0.427,0.384,84.0,154.0,70.0,1.156,5673.0,1.161,0.73,5.166,2.164,3.008,wing,3000+
2024-2026,2025.0,1629651,Nic Claxton,11820.0,11853.0,0.392,-0.837,-0.0,-0.837,-1.001,-0.241,-1.241,-1.118,0.853,-0.265,-1.118,0.853,-0.265,-1.955,0.853,-1.102,-1.69,0.921,-0.769,-0.554,-0.554,-1.672,-0.819,-0.0,0.853,-1.464,0.921,-0.544,-1.955,0.853,-1.672,0.853,nic claxton,Nic Claxton,Brooklyn Nets,-1.0,-0.1,-1.1,-0.267,-0.288,0.021,268.0,271.0,3.0,-0.768,-0.291,-0.477,376.0,279.0,-97.0,0.587,-0.122,0.709,124.0,243.0,119.0,5.553,5920.0,3.15,1.964,7.182,3.387,0.055,big,3000+
2024-2026,2025.0,1631105,Jalen Duren,11951.0,11920.0,0.394,1.73,-0.0,1.73,-0.14,-0.031,-0.171,0.376,0.124,0.499,0.376,0.124,0.499,2.106,0.124,2.23,2.134,0.13,2.264,1.755,1.755,2.131,2.255,-0.0,0.124,2.161,0.13,2.29,2.106,0.124,2.131,0.124,jalen duren,Jalen Duren,Detroit Pistons,3.5,0.4,3.9,0.995,1.764,-0.769,73.0,24.5,-48.5,1.359,2.01,-0.65,39.0,20.5,-18.5,-0.041,0.336,-0.377,235.0,166.5,-68.5,7.074,5790.0,4.564,1.212,9.445,3.072,0.0,big,3000+
2024-2026,2025.0,1630596,Evan Mobley,11993.0,11946.0,0.395,1.495,-0.0,1.495,-0.728,0.531,-0.197,-0.651,2.289,1.638,-0.651,2.289,1.638,0.845,2.289,3.134,0.822,2.639,3.461,1.643,1.643,0.992,3.281,-0.0,2.289,0.971,2.639,3.61,0.845,2.289,0.992,2.289,evan mobley,Evan Mobley,Cleveland Cavaliers,1.9,1.7,3.6,1.494,1.641,-0.148,37.0,28.5,-8.5,0.629,1.192,-0.562,100.0,52.5,-47.5,1.951,1.526,0.425,21.0,33.5,12.5,4.584,5780.0,2.684,1.856,7.985,3.862,1.053,big,3000+
2024-2026,2025.0,202691,Klay Thompson,12015.0,11972.0,0.396,0.574,-0.0,0.574,-0.649,-0.059,-0.707,-0.664,-0.865,-1.53,-0.664,-0.865,-1.53,-0.09,-0.865,-0.955,-0.083,-0.851,-0.934,1.222,1.222,0.557,-0.308,-0.0,-0.865,0.537,-0.851,-0.314,-0.09,-0.865,0.557,-0.865,klay thompson,Klay Thompson,Dallas Mavericks,-0.9,-0.6,-1.5,-0.335,-0.452,0.117,280.0,299.0,19.0,0.126,-0.24,0.366,177.0,264.5,87.5,-0.819,-0.58,-0.24,368.0,338.5,-29.5,-0.846,5749.0,0.607,0.545,3.419,2.611,4.296,guard,3000+
2024-2026,2025.0,1629023,P.J. Washington,12056.0,12058.0,0.396,-1.513,-0.0,-1.513,0.056,-0.308,-0.252,-0.064,0.893,0.829,-0.064,0.893,0.829,-1.577,0.893,-0.684,-1.388,0.967,-0.421,-1.71,-1.71,-1.774,-0.88,-0.0,0.893,-1.546,0.967,-0.578,-1.577,0.893,-1.774,0.893,p j washington,P.J. Washington,Dallas Mavericks,-1.0,0.6,-0.5,-0.122,-0.042,-0.08,236.0,222.0,-14.0,-0.6,-0.291,-0.309,346.0,279.0,-67.0,0.624,0.519,0.105,116.0,142.0,26.0,2.64,5785.0,1.562,1.114,6.198,2.303,1.861,big,3000+
2024-2026,2025.0,1627734,Domantas Sabonis,12162.0,12112.0,0.399,2.326,-0.0,2.326,-0.991,0.277,-0.714,-0.25,1.411,1.161,-0.25,1.411,1.161,2.076,1.411,3.487,2.102,1.565,3.667,2.126,2.126,1.875,3.286,-0.0,1.411,1.889,1.565,3.454,2.076,1.411,1.875,1.411,domantas sabonis,Domantas Sabonis,Sacramento Kings,1.4,-0.3,1.1,1.579,0.615,0.964,34.0,120.0,86.0,1.341,0.936,0.405,40.0,72.5,32.5,1.098,-0.305,1.403,56.0,280.0,224.0,3.523,5923.0,3.799,0.474,10.229,7.136,0.626,big,3000+
2024-2026,2025.0,203952,Andrew Wiggins,12172.0,12171.0,0.399,-0.049,-0.0,-0.049,-0.069,0.143,0.074,-0.187,0.112,-0.075,-0.187,0.112,-0.075,-0.236,0.112,-0.123,-0.219,0.118,-0.101,0.266,0.266,0.079,0.191,-0.0,0.112,0.075,0.118,0.193,-0.236,0.112,0.079,0.112,andrew wiggins,Andrew Wiggins,Miami Heat,-0.8,-0.3,-1.0,0.011,-0.247,0.258,211.0,262.5,51.5,0.05,-0.189,0.239,201.0,249.5,48.5,-0.05,-0.305,0.255,238.0,280.0,42.0,1.736,5827.0,1.928,0.989,3.75,2.836,2.218,wing,3000+
2024-2026,2025.0,1628991,Jaren Jackson Jr.,12196.0,12107.0,0.399,0.701,-0.0,0.701,-0.95,-0.201,-1.152,-0.893,2.783,1.89,-0.893,2.783,1.89,-0.191,2.783,2.591,-0.177,3.22,3.043,0.9,0.9,0.007,2.79,-0.0,2.783,0.008,3.22,3.229,-0.191,2.783,0.007,2.783,jaren jackson,Jaren Jackson Jr.,Utah Jazz,-0.2,1.7,1.5,1.32,0.779,0.54,45.0,101.0,56.0,0.073,0.118,-0.045,193.0,179.5,-13.5,2.412,1.526,0.886,11.0,33.5,22.5,2.615,5783.0,1.357,1.793,5.204,2.465,2.16,big,3000+
2024-2026,2025.0,1630552,Jalen Johnson,12202.0,12186.0,0.399,0.633,-0.0,0.633,-0.559,0.435,-0.124,-0.555,1.09,0.535,-0.555,1.09,0.535,0.079,1.09,1.168,0.075,1.192,1.267,0.243,0.243,-0.312,0.778,-0.0,1.09,-0.289,1.192,0.902,0.079,1.09,-0.312,1.09,jalen johnson,Jalen Johnson,Atlanta Hawks,1.1,0.8,1.9,0.58,0.943,-0.363,114.0,82.0,-32.0,0.214,0.783,-0.569,162.0,86.5,-75.5,0.802,0.702,0.1,87.0,106.0,19.0,1.179,5709.0,1.494,0.719,8.513,5.991,1.482,wing,3000+
2024-2026,2025.0,1629640,Keldon Johnson,12215.0,12172.0,0.4,0.501,-0.0,0.501,-0.379,0.018,-0.361,-0.647,-1.266,-1.913,-0.647,-1.266,-1.913,-0.146,-1.266,-1.412,-0.135,-1.215,-1.349,-0.161,-0.161,-0.808,-2.074,-0.0,-1.266,-0.733,-1.215,-1.948,-0.146,-1.266,-0.808,-1.266,keldon johnson,Keldon Johnson,San Antonio Spurs,0.7,-0.1,0.6,-0.508,0.41,-0.918,319.0,145.5,-173.5,0.097,0.578,-0.481,186.0,108.0,-78.0,-1.108,-0.122,-0.986,417.0,243.0,-174.0,1.928,5780.0,2.143,0.33,5.257,2.684,1.949,wing,3000+
2024-2026,2025.0,203507,Giannis Antetokounmpo,12224.0,12179.0,0.4,5.44,-0.0,5.44,0.707,-0.052,0.655,0.685,1.064,1.749,0.685,1.064,1.749,6.125,1.064,7.189,6.318,1.162,7.481,3.68,3.68,4.364,5.428,-0.0,1.064,4.502,1.162,5.665,6.125,1.064,4.364,1.064,giannis antetokounmpo,Giannis Antetokounmpo,Milwaukee Bucks,7.1,1.1,8.2,3.166,3.53,-0.363,6.0,4.0,-2.0,3.687,3.85,-0.163,4.0,3.0,-1.0,0.778,0.977,-0.198,92.0,72.5,-19.5,3.106,5903.0,2.689,1.104,9.453,6.739,0.384,big,3000+
2024-2026,2025.0,1630530,Trey Murphy III,12242.0,12227.0,0.4,2.351,-0.0,2.351,-1.584,-0.168,-1.752,-0.948,0.396,-0.552,-0.948,0.396,-0.552,1.403,0.396,1.799,1.386,0.419,1.805,2.36,2.36,1.412,1.808,-0.0,0.396,1.396,0.419,1.815,1.403,0.396,1.412,0.396,trey murphy,Trey Murphy III,New Orleans Pelicans,2.1,-0.6,1.5,0.804,0.779,0.025,86.0,101.0,15.0,0.943,1.294,-0.351,70.0,45.0,-25.0,0.189,-0.58,0.768,186.0,338.5,152.5,-0.138,5889.0,0.929,0.556,4.725,3.436,3.307,guard,3000+
2024-2026,2025.0,1631099,Keegan Murray,12289.0,12246.0,0.401,-0.959,-0.0,-0.959,0.561,-0.163,0.398,0.039,1.918,1.957,0.039,1.918,1.957,-0.92,1.918,0.998,-0.831,2.185,1.354,-0.961,-0.961,-0.922,0.996,-0.0,1.918,-0.833,2.185,1.352,-0.92,1.918,-0.922,1.918,keegan murray,Keegan Murray,Sacramento Kings,-0.5,1.0,0.5,0.617,0.369,0.248,109.0,151.0,42.0,-0.29,-0.035,-0.255,267.0,207.5,-59.5,1.59,0.885,0.705,32.0,82.0,50.0,2.379,5992.0,1.712,0.985,4.65,1.658,2.211,big,3000+
2024-2026,2025.0,1630168,Onyeka Okongwu,12315.0,12261.0,0.402,0.492,-0.0,0.492,-0.154,-0.097,-0.251,0.29,0.838,1.129,0.29,0.838,1.129,0.783,0.838,1.621,0.76,0.904,1.664,0.772,0.772,1.063,1.901,-0.0,0.838,1.041,0.904,1.946,0.783,0.838,1.063,0.838,onyeka okongwu,Onyeka Okongwu,Atlanta Hawks,0.5,0.8,1.3,0.746,0.697,0.049,95.0,111.0,16.0,0.595,0.476,0.119,103.0,119.5,16.5,0.574,0.702,-0.128,127.0,106.0,-21.0,4.48,5765.0,3.154,1.293,6.825,2.954,1.343,big,3000+
