window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,prior_off_po,prior_total_po,rapm_mm_off_po,rapm_mm_total_po,prior_def_po,rapm_mm_def_po,rating_off_po,rating_def_po,rating_total_po,rating_off_raw,rating_def_raw,rating_off_po_raw,rating_def_po_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1642844,Dylan Harper,3202.0,3223.0,0.149,0.17,-0.0,0.17,0.032,-0.056,-0.024,0.406,1.143,1.548,0.406,1.143,1.548,0.576,1.143,1.718,0.555,1.253,1.807,-0.124,-0.124,0.282,1.424,-0.0,1.143,0.269,1.253,1.522,0.576,1.143,0.282,1.143,dylan harper,Dylan Harper,San Antonio Spurs,0.6,1.8,2.4,0.805,1.149,-0.343,85.0,59.5,-25.5,0.481,0.527,-0.046,117.0,113.0,-4.0,0.85,1.617,-0.767,81.0,28.0,-53.0,-0.587,1559.0,1.247,0.554,4.157,6.142,1.409,guard,1000-2000
2024-2026,2025.0,1642367,Jonathan Mogbo,3206.0,3221.0,0.149,-2.692,-0.0,-2.692,-0.094,-0.013,-0.108,-0.534,-0.662,-1.196,-0.534,-0.662,-1.196,-3.226,-0.662,-3.888,-2.622,-0.66,-3.282,-2.716,-2.716,-3.25,-3.912,-0.0,-0.662,-2.64,-0.66,-3.3,-3.226,-0.662,-3.25,-0.662,jonathan mogbo,Jonathan Mogbo,Toronto Raptors,-3.3,0.1,-3.2,-1.313,-1.15,-0.162,447.0,426.0,-21.0,-1.287,-1.467,0.18,449.0,458.5,9.5,-0.668,0.061,-0.729,345.0,210.0,-135.0,3.584,1537.0,2.998,0.984,5.879,4.005,0.398,big,1000-2000
2024-2026,2025.0,1629618,Jalen Pickett,3213.0,3200.0,0.149,-1.672,-0.0,-1.672,0.411,0.16,0.571,0.157,0.15,0.307,0.157,0.15,0.307,-1.514,0.15,-1.364,-1.335,0.157,-1.178,-1.512,-1.512,-1.355,-1.205,-0.0,0.15,-1.202,0.157,-1.045,-1.514,0.15,-1.355,0.15,jalen pickett,Jalen Pickett,Denver Nuggets,-1.8,0.2,-1.6,-0.437,-0.494,0.056,299.0,309.5,10.5,-0.571,-0.7,0.129,341.0,364.5,23.5,-0.02,0.153,-0.172,229.0,191.5,-37.5,-1.521,1591.0,0.769,0.226,3.734,5.498,2.217,guard,1000-2000
2024-2026,2025.0,1642419,Jamison Battle,3238.0,3252.0,0.15,-1.132,-0.0,-1.132,0.787,0.249,1.036,-0.145,-0.493,-0.638,-0.145,-0.493,-0.638,-1.276,-0.493,-1.77,-1.136,-0.496,-1.632,-0.637,-0.637,-0.782,-1.275,-0.0,-0.493,-0.711,-0.496,-1.207,-1.276,-0.493,-0.782,-0.493,jamison battle,Jamison Battle,Toronto Raptors,-2.2,-0.6,-2.8,-0.626,-0.986,0.36,346.0,401.5,55.5,-0.46,-0.904,0.444,308.0,404.0,96.0,-0.538,-0.58,0.042,326.0,338.5,12.5,0.75,1559.0,1.316,0.3,4.387,1.778,3.233,wing,1000-2000
2024-2026,2025.0,1628366,Lonzo Ball,3254.0,3251.0,0.151,-0.99,-0.0,-0.99,-0.906,-0.071,-0.977,-0.223,0.655,0.432,-0.223,0.655,0.432,-1.213,0.655,-0.558,-1.083,0.702,-0.381,-1.251,-1.251,-1.473,-0.818,-0.0,0.655,-1.301,0.702,-0.599,-1.213,0.655,-1.473,0.655,lonzo ball,Lonzo Ball,Utah Jazz,-1.5,1.4,-0.1,-0.105,0.122,-0.228,233.0,191.5,-41.5,-0.431,-0.547,0.116,302.0,329.0,27.0,0.414,1.251,-0.838,148.0,52.5,-95.5,-0.7,1502.0,1.222,0.623,4.961,6.016,2.565,guard,1000-2000
2024-2026,2025.0,1630165,Killian Hayes,3266.0,3280.0,0.151,-3.051,-0.0,-3.051,-0.608,-0.298,-0.906,-0.164,-0.495,-0.66,-0.164,-0.495,-0.66,-3.215,-0.495,-3.71,-2.615,-0.498,-3.112,-3.467,-3.467,-3.631,-4.126,-0.0,-0.495,-2.944,-0.498,-3.442,-3.215,-0.495,-3.631,-0.495,killian hayes,Killian Hayes,Sacramento Kings,-3.2,-0.1,-3.3,-1.242,-1.191,-0.051,437.0,432.5,-4.5,-1.282,-1.416,0.133,448.0,456.0,8.0,-0.539,-0.122,-0.417,327.0,243.0,-84.0,-1.782,1576.0,0.457,0.64,3.906,7.241,1.074,guard,1000-2000
2024-2026,2025.0,1630696,Dru Smith,3316.0,3323.0,0.153,-0.545,-0.0,-0.545,0.627,0.857,1.484,-0.629,1.909,1.28,-0.629,1.909,1.28,-1.174,1.909,0.734,-1.051,2.174,1.123,-0.522,-0.522,-1.15,0.758,-0.0,1.909,-1.031,2.174,1.143,-1.174,1.909,-1.15,1.909,dru smith,Dru Smith,Miami Heat,-1.7,1.8,0.1,0.52,0.204,0.316,128.0,179.5,51.5,-0.413,-0.649,0.236,297.0,352.0,55.0,1.581,1.617,-0.036,33.0,28.0,-5.0,0.466,1544.0,1.865,0.699,3.334,5.06,1.422,wing,1000-2000
2024-2026,2025.0,1641738,Kobe Brown,3321.0,3326.0,0.153,-1.809,-0.0,-1.809,0.958,0.319,1.277,-0.129,-1.866,-1.995,-0.129,-1.866,-1.995,-1.938,-1.866,-3.804,-1.677,-1.745,-3.421,-1.835,-1.835,-1.964,-3.83,-0.0,-1.866,-1.697,-1.745,-3.442,-1.938,-1.866,-1.964,-1.866,kobe brown,Kobe Brown,Indiana Pacers,-1.9,-1.8,-3.7,-1.371,-1.356,-0.015,453.0,447.5,-5.5,-0.761,-0.751,-0.01,374.0,379.5,5.5,-1.529,-1.678,0.15,459.0,461.0,2.0,2.155,1624.0,2.372,0.488,4.544,2.86,1.596,big,1000-2000
2024-2026,2025.0,1641775,Jordan Walsh,3322.0,3339.0,0.153,-1.925,-0.0,-1.925,0.394,-0.212,0.182,0.481,0.508,0.988,0.481,0.508,0.988,-1.444,0.508,-0.936,-1.277,0.54,-0.737,-1.771,-1.771,-1.29,-0.782,-0.0,0.508,-1.148,0.54,-0.608,-1.444,0.508,-1.29,0.508,jordan walsh,Jordan Walsh,Boston Celtics,-0.9,0.8,-0.1,-0.253,0.122,-0.376,264.0,191.5,-72.5,-0.538,-0.24,-0.298,329.0,264.5,-64.5,0.285,0.702,-0.417,169.0,106.0,-63.0,3.507,1698.0,2.396,0.912,5.258,1.654,1.378,big,1000-2000
2024-2026,2025.0,1631216,Caleb Houstan,3322.0,3333.0,0.153,-1.211,-0.0,-1.211,-0.116,0.194,0.077,-0.267,-0.627,-0.894,-0.267,-0.627,-0.894,-1.478,-0.627,-2.106,-1.305,-0.626,-1.932,-0.852,-0.852,-1.12,-1.747,-0.0,-0.627,-1.005,-0.626,-1.631,-1.478,-0.627,-1.12,-0.627,caleb houstan,Caleb Houstan,Atlanta Hawks,-2.1,-0.1,-2.2,-0.751,-0.74,-0.011,366.0,370.0,4.0,-0.554,-0.853,0.299,336.0,397.0,61.0,-0.641,-0.122,-0.519,343.0,243.0,-100.0,0.12,1677.0,1.116,0.236,2.533,1.46,3.156,wing,1000-2000
2024-2026,2025.0,1628449,Chris Boucher,3355.0,3373.0,0.155,1.545,-0.0,1.545,-0.329,-0.318,-0.647,0.485,-0.418,0.067,0.485,-0.418,0.067,2.03,-0.418,1.612,2.053,-0.423,1.63,1.491,1.491,1.976,1.558,-0.0,-0.418,1.996,-0.423,1.573,2.03,-0.418,1.976,-0.418,chris boucher,Chris Boucher,Utah Jazz,0.4,-0.7,-0.3,0.732,0.04,0.692,96.0,206.0,110.0,1.314,0.425,0.889,42.0,129.5,87.5,-0.479,-0.671,0.192,312.0,358.0,46.0,4.628,1663.0,2.901,1.212,6.819,1.277,2.23,big,1000-2000
2024-2026,2025.0,1642907,Cedric Coward,3398.0,3383.0,0.156,0.356,-0.0,0.356,-0.244,0.253,0.009,0.105,0.382,0.487,0.105,0.382,0.487,0.461,0.382,0.844,0.444,0.405,0.849,0.117,0.117,0.221,0.604,-0.0,0.382,0.211,0.405,0.616,0.461,0.382,0.221,0.382,cedric coward,Cedric Coward,Memphis Grizzlies,0.3,0.5,0.8,0.406,0.492,-0.085,146.0,134.0,-12.0,0.419,0.374,0.045,128.0,138.0,10.0,0.177,0.427,-0.25,188.0,154.0,-34.0,1.609,1602.0,1.865,0.607,6.315,3.843,2.09,wing,1000-2000
2024-2026,2025.0,1642860,Will Riley,3426.0,3452.0,0.157,-1.134,-0.0,-1.134,-0.199,-0.107,-0.306,-0.161,-2.213,-2.374,-0.161,-2.213,-2.374,-1.295,-2.213,-3.507,-1.152,-2.069,-3.22,-1.949,-1.949,-2.11,-4.323,-0.0,-2.213,-1.814,-2.069,-3.883,-1.295,-2.213,-2.11,-2.213,will riley,Will Riley,Washington Wizards,-1.2,-1.8,-3.0,-1.287,-1.068,-0.219,441.0,413.5,-27.5,-0.469,-0.393,-0.076,311.0,296.5,-14.5,-1.786,-1.678,-0.107,468.0,461.0,-7.0,0.168,1631.0,1.236,0.199,3.443,3.223,1.722,wing,1000-2000
2024-2026,2025.0,1631223,David Roddy,3458.0,3484.0,0.159,-2.562,-0.0,-2.562,-0.254,0.01,-0.244,-0.381,-0.841,-1.222,-0.381,-0.841,-1.222,-2.943,-0.841,-3.784,-2.419,-0.828,-3.247,-3.304,-3.304,-3.686,-4.527,-0.0,-0.841,-2.989,-0.828,-3.817,-2.943,-0.841,-3.686,-0.841,david roddy,David Roddy,Denver Nuggets,-2.5,-0.5,-3.0,-1.298,-1.068,-0.23,444.0,413.5,-30.5,-1.174,-1.058,-0.116,437.0,423.0,-14.0,-0.801,-0.488,-0.313,366.0,318.5,-47.5,1.732,1659.0,1.606,0.456,5.23,2.582,1.519,wing,1000-2000
2024-2026,2025.0,1631321,Sidy Cissoko,3499.0,3515.0,0.16,-3.281,-0.0,-3.281,0.3,0.98,1.28,0.018,0.637,0.655,0.018,0.637,0.655,-3.263,0.637,-2.626,-2.649,0.683,-1.966,-3.847,-3.847,-3.829,-3.192,-0.0,0.637,-3.105,0.683,-2.422,-3.263,0.637,-3.829,0.637,sidy cissoko,Sidy Cissoko,Portland Trail Blazers,-2.7,0.9,-1.8,-0.765,-0.576,-0.19,371.0,332.0,-39.0,-1.302,-1.16,-0.142,451.0,433.5,-17.5,0.398,0.794,-0.396,151.0,92.0,-59.0,1.143,1688.0,1.664,0.618,2.794,2.879,1.344,wing,1000-2000
2024-2026,2025.0,203926,Doug McDermott,3512.0,3525.0,0.161,-1.13,-0.0,-1.13,0.666,0.163,0.829,-0.283,-1.277,-1.56,-0.283,-1.277,-1.56,-1.413,-1.277,-2.69,-1.25,-1.224,-2.474,-0.501,-0.501,-0.784,-2.062,-0.0,-1.277,-0.713,-1.224,-1.937,-1.413,-1.277,-0.784,-1.277,doug mcdermott,Doug McDermott,Sacramento Kings,-1.8,-1.9,-3.7,-0.977,-1.356,0.379,406.0,447.5,41.5,-0.524,-0.7,0.176,324.0,364.5,40.5,-1.116,-1.77,0.654,418.0,467.0,49.0,-1.42,1686.0,0.427,0.171,2.093,2.114,3.972,guard,1000-2000
2024-2026,2025.0,1631255,Karlo Matković,3541.0,3555.0,0.162,-0.387,-0.0,-0.387,0.177,-0.195,-0.019,-0.288,0.244,-0.044,-0.288,0.244,-0.044,-0.675,0.244,-0.431,-0.617,0.256,-0.361,0.682,0.682,0.394,0.638,-0.0,0.244,0.379,0.256,0.635,-0.675,0.244,0.394,0.244,karlo matkovic,Karlo Matkovic,New Orleans Pelicans,-1.5,0.5,-0.9,-0.097,-0.206,0.109,232.0,254.0,22.0,-0.171,-0.547,0.375,240.0,329.0,89.0,0.059,0.427,-0.368,212.0,154.0,-58.0,5.288,1702.0,2.877,2.009,6.388,2.031,1.248,big,1000-2000
2024-2026,2025.0,1631248,Baylor Scheierman,3565.0,3548.0,0.163,-1.039,-0.0,-1.039,0.756,-0.171,0.585,-0.047,0.971,0.924,-0.047,0.971,0.924,-1.086,0.971,-0.115,-0.975,1.056,0.08,-0.99,-0.99,-1.037,-0.066,-0.0,0.971,-0.933,1.056,0.123,-1.086,0.971,-1.037,0.971,baylor scheierman,Baylor Scheierman,Boston Celtics,-0.4,1.2,0.8,0.087,0.492,-0.405,193.0,134.0,-59.0,-0.371,0.016,-0.386,285.0,195.0,-90.0,0.694,1.068,-0.374,102.0,65.5,-36.5,0.746,1819.0,1.504,0.158,5.106,2.949,2.434,wing,1000-2000
2024-2026,2025.0,1630548,Johnny Juzang,3583.0,3575.0,0.163,-0.585,-0.0,-0.585,0.013,-0.004,0.009,-0.328,-0.817,-1.145,-0.328,-0.817,-1.145,-0.913,-0.817,-1.73,-0.825,-0.806,-1.631,-0.622,-0.622,-0.951,-1.767,-0.0,-0.817,-0.858,-0.806,-1.664,-0.913,-0.817,-0.951,-0.817,johnny juzang,Johnny Juzang,Minnesota Timberwolves,-1.5,-0.9,-2.5,-0.626,-0.863,0.237,345.0,388.5,43.5,-0.287,-0.547,0.259,266.0,329.0,63.0,-0.783,-0.854,0.071,363.0,385.5,22.5,0.188,1725.0,1.127,0.23,3.819,2.024,3.256,wing,1000-2000
2024-2026,2025.0,1641744,Zach Edey,3583.0,3581.0,0.163,0.357,-0.0,0.357,-1.2,-0.305,-1.505,0.596,1.795,2.392,0.596,1.795,2.392,0.954,1.795,2.749,0.932,2.035,2.967,1.639,1.639,2.235,4.031,-0.0,1.795,2.272,2.035,4.307,0.954,1.795,2.235,1.795,zach edey,Zach Edey,Memphis Grizzlies,0.3,2.0,2.3,1.288,1.108,0.18,48.0,66.5,18.5,0.69,0.374,0.317,88.0,138.0,50.0,1.471,1.801,-0.329,35.0,23.0,-12.0,9.584,1703.0,5.813,2.241,8.35,1.628,0.402,big,1000-2000
2024-2026,2025.0,1641757,Jordan Miller,3586.0,3603.0,0.163,-0.463,-0.0,-0.463,0.26,0.079,0.338,0.255,-1.783,-1.528,0.255,-1.783,-1.528,-0.207,-1.783,-1.99,-0.193,-1.668,-1.861,-1.172,-1.172,-0.917,-2.7,-0.0,-1.783,-0.828,-1.668,-2.496,-0.207,-1.783,-0.917,-1.783,jordan miller,Jordan Miller,Los Angeles Clippers,-0.9,-0.7,-1.5,-0.721,-0.452,-0.269,361.0,299.0,-62.0,0.065,-0.24,0.305,197.0,264.5,67.5,-1.468,-0.671,-0.796,453.0,358.0,-95.0,0.792,1768.0,1.548,0.326,3.441,3.462,0.957,wing,1000-2000
2024-2026,2025.0,1642272,Jared McCain,3611.0,3620.0,0.164,-0.388,-0.0,-0.388,-0.205,0.055,-0.15,-0.177,-0.303,-0.48,-0.177,-0.303,-0.48,-0.565,-0.303,-0.868,-0.518,-0.308,-0.826,-0.345,-0.345,-0.523,-0.825,-0.0,-0.303,-0.48,-0.308,-0.787,-0.565,-0.303,-0.523,-0.303,jared mccain,Jared McCain,Oklahoma City Thunder,-0.8,-0.1,-0.9,-0.291,-0.206,-0.084,276.0,254.0,-22.0,-0.116,-0.189,0.072,233.0,249.5,16.5,-0.388,-0.122,-0.266,292.0,243.0,-49.0,-0.961,1757.0,0.738,0.102,3.217,3.073,3.073,guard,1000-2000
2024-2026,2025.0,1629660,Ty Jerome,3618.0,3612.0,0.165,4.189,-0.0,4.189,0.087,0.089,0.177,0.552,-0.875,-0.323,0.552,-0.875,-0.323,4.74,-0.875,3.865,4.89,-0.86,4.03,4.811,4.811,5.363,4.488,-0.0,-0.875,5.533,-0.86,4.673,4.74,-0.875,5.363,-0.875,ty jerome,Ty Jerome,Memphis Grizzlies,3.6,-0.5,3.2,1.73,1.477,0.253,23.0,36.5,13.5,2.893,2.061,0.832,8.0,18.5,10.5,-0.827,-0.488,-0.338,369.0,318.5,-50.5,-2.237,1746.0,1.278,0.144,3.175,6.701,3.155,guard,1000-2000
2024-2026,2025.0,1642275,Tidjane Salaün,3665.0,3675.0,0.166,-2.666,-0.0,-2.666,0.219,-0.319,-0.1,-0.469,-0.876,-1.345,-0.469,-0.876,-1.345,-3.134,-0.876,-4.01,-2.556,-0.861,-3.417,-3.258,-3.258,-3.727,-4.603,-0.0,-0.876,-3.022,-0.861,-3.883,-3.134,-0.876,-3.727,-0.876,tidjane salaun,Tidjane Salaun,Charlotte Hornets,-3.2,0.2,-3.0,-1.369,-1.068,-0.301,452.0,413.5,-38.5,-1.25,-1.416,0.166,443.0,456.0,13.0,-0.827,0.153,-0.98,371.0,191.5,-179.5,2.545,1822.0,1.897,0.415,6.58,1.996,1.857,big,1000-2000
2024-2026,2025.0,1630192,Zeke Nnaji,3684.0,3703.0,0.167,-2.669,-0.0,-2.669,0.677,-0.442,0.235,-0.253,0.166,-0.087,-0.253,0.166,-0.087,-2.922,0.166,-2.756,-2.404,0.174,-2.23,-2.239,-2.239,-2.492,-2.326,-0.0,0.166,-2.094,0.174,-1.92,-2.922,0.166,-2.492,0.166,zeke nnaji,Zeke Nnaji,Denver Nuggets,-3.5,0.3,-3.2,-0.875,-1.15,0.276,387.0,426.0,39.0,-1.165,-1.569,0.404,434.0,462.0,28.0,-0.006,0.244,-0.25,226.0,177.0,-49.0,4.723,1812.0,2.523,1.987,4.47,1.669,0.735,big,1000-2000
2024-2026,2025.0,203552,Seth Curry,3696.0,3673.0,0.168,-1.163,-0.0,-1.163,-0.19,-0.017,-0.207,-0.117,-0.215,-0.332,-0.117,-0.215,-0.332,-1.28,-0.215,-1.495,-1.139,-0.219,-1.358,-0.774,-0.774,-0.891,-1.106,-0.0,-0.215,-0.806,-0.219,-1.025,-1.28,-0.215,-0.891,-0.215,seth curry,Seth Curry,Golden State Warriors,-1.0,-1.2,-2.2,-0.512,-0.74,0.228,322.0,370.0,48.0,-0.462,-0.291,-0.171,309.0,279.0,-30.0,-0.318,-1.129,0.811,282.0,418.0,136.0,-0.142,1806.0,0.917,0.259,2.93,2.272,2.651,guard,1000-2000
2024-2026,2025.0,201567,Kevin Love,3700.0,3762.0,0.168,1.666,-0.0,1.666,-0.624,0.218,-0.406,0.176,0.244,0.42,0.176,0.244,0.42,1.841,0.244,2.086,1.853,0.257,2.11,1.436,1.436,1.611,1.856,-0.0,0.244,1.608,0.257,1.865,1.841,0.244,1.611,0.244,kevin love,Kevin Love,Utah Jazz,0.0,-1.0,-1.1,0.931,-0.288,1.219,78.0,271.0,193.0,1.203,0.22,0.982,47.0,163.5,116.5,0.06,-0.946,1.006,211.0,396.0,185.0,2.939,1787.0,2.74,0.463,10.294,4.11,3.243,big,1000-2000
2024-2026,2025.0,1630543,Isaiah Jackson,3703.0,3701.0,0.168,0.084,-0.0,0.084,-0.361,-0.59,-0.951,0.168,-0.588,-0.421,0.168,-0.588,-0.421,0.252,-0.588,-0.337,0.241,-0.589,-0.348,0.899,0.899,1.067,0.478,-0.0,-0.588,1.046,-0.589,0.457,0.252,-0.588,1.067,-0.588,isaiah jackson,Isaiah Jackson,Los Angeles Clippers,-0.6,-0.1,-0.8,-0.092,-0.165,0.073,230.0,244.0,14.0,0.306,-0.086,0.392,145.0,221.5,76.5,-0.611,-0.122,-0.489,338.0,243.0,-95.0,7.848,1761.0,4.457,2.412,6.91,2.187,0.0,big,1000-2000
2024-2026,2025.0,1631243,Mouhamed Gueye,3707.0,3751.0,0.168,-1.286,-0.0,-1.286,-0.0,-0.397,-0.397,0.187,0.931,1.119,0.187,0.931,1.119,-1.099,0.931,-0.167,-0.987,1.011,0.024,-1.326,-1.326,-1.139,-0.208,-0.0,0.931,-1.021,1.011,-0.011,-1.099,0.931,-1.139,0.931,mouhamed gueye,Mouhamed Gueye,Atlanta Hawks,-1.3,1.8,0.4,0.063,0.328,-0.264,199.0,156.5,-42.5,-0.377,-0.444,0.067,288.0,308.5,20.5,0.658,1.617,-0.959,108.0,28.0,-80.0,4.67,1783.0,2.887,1.534,5.916,2.019,1.292,big,1000-2000
2024-2026,2025.0,1631121,Bryce McGowens,3709.0,3712.0,0.168,-2.49,-0.0,-2.49,0.038,-0.155,-0.117,0.242,-0.86,-0.619,0.242,-0.86,-0.619,-2.248,-0.86,-3.109,-1.918,-0.847,-2.765,-3.14,-3.14,-2.898,-3.759,-0.0,-0.86,-2.386,-0.847,-3.233,-2.248,-0.86,-2.898,-0.86,bryce mcgowens,Bryce McGowens,New Orleans Pelicans,-1.4,-0.9,-2.3,-1.097,-0.781,-0.316,418.0,378.0,-40.0,-0.895,-0.495,-0.4,405.0,318.5,-86.5,-0.816,-0.854,0.039,367.0,385.5,18.5,0.227,1794.0,0.622,0.361,3.251,2.308,1.445,wing,1000-2000
2024-2026,2025.0,1642883,Sion James,3725.0,3732.0,0.169,-3.208,-0.0,-3.208,-0.065,0.012,-0.053,0.472,1.568,2.041,0.472,1.568,2.041,-2.736,1.568,-1.167,-2.269,1.758,-0.512,-3.452,-3.452,-2.98,-1.411,-0.0,1.568,-2.445,1.758,-0.688,-2.736,1.568,-2.98,1.568,sion james,Sion James,Charlotte Hornets,-1.2,1.6,0.4,-0.16,0.328,-0.487,246.0,156.5,-89.5,-1.09,-0.393,-0.697,424.0,296.5,-127.5,1.251,1.434,-0.183,45.0,39.0,-6.0,0.503,1840.0,0.959,0.391,4.657,3.189,1.624,wing,1000-2000
2024-2026,2025.0,1630695,Micah Potter,3758.0,3790.0,0.17,-0.537,-0.0,-0.537,0.332,-0.041,0.29,-0.179,-0.806,-0.985,-0.179,-0.806,-0.985,-0.716,-0.806,-1.522,-0.654,-0.796,-1.45,-0.147,-0.147,-0.326,-1.132,-0.0,-0.806,-0.302,-0.796,-1.098,-0.716,-0.806,-0.326,-0.806,micah potter,Micah Potter,Indiana Pacers,-0.9,-0.9,-1.9,-0.55,-0.617,0.066,331.0,341.5,10.5,-0.192,-0.24,0.048,246.0,264.5,18.5,-0.776,-0.854,0.079,362.0,385.5,23.5,2.951,1797.0,2.224,0.701,6.591,2.124,2.224,big,1000-2000
2024-2026,2025.0,1642366,Quinten Post,3761.0,3770.0,0.17,0.303,-0.0,0.303,0.503,0.141,0.644,-0.564,0.353,-0.211,-0.564,0.353,-0.211,-0.262,0.353,0.092,-0.243,0.374,0.131,0.872,0.872,0.307,0.66,-0.0,0.353,0.294,0.374,0.668,-0.262,0.353,0.307,0.353,quinten post,Quinten Post,Golden State Warriors,-0.6,0.7,0.1,0.108,0.204,-0.097,188.0,179.5,-8.5,0.037,-0.086,0.123,205.0,221.5,16.5,0.153,0.61,-0.458,196.0,125.0,-71.0,2.119,1848.0,2.006,1.032,6.117,2.922,3.234,big,1000-2000
2024-2026,2025.0,1630264,Anthony Gill,3807.0,3851.0,0.172,-1.763,-0.0,-1.763,0.746,0.117,0.863,-0.058,-1.597,-1.655,-0.058,-1.597,-1.655,-1.821,-1.597,-3.418,-1.583,-1.505,-3.088,-2.106,-2.106,-2.163,-3.76,-0.0,-1.597,-1.857,-1.505,-3.361,-1.821,-1.597,-2.163,-1.597,anthony gill,Anthony Gill,Washington Wizards,-2.8,-1.8,-4.7,-1.232,-1.766,0.534,435.0,468.5,33.5,-0.709,-1.211,0.502,364.0,438.5,74.5,-1.338,-1.678,0.34,448.0,461.0,13.0,2.656,1819.0,2.236,0.673,4.057,2.355,0.732,big,1000-2000
2024-2026,2025.0,1631172,Ousmane Dieng,3834.0,3833.0,0.173,-2.019,-0.0,-2.019,-0.067,0.094,0.027,-0.525,-0.415,-0.94,-0.525,-0.415,-0.94,-2.545,-0.415,-2.959,-2.131,-0.419,-2.551,-2.262,-2.262,-2.788,-3.202,-0.0,-0.415,-2.307,-0.419,-2.726,-2.545,-0.415,-2.788,-0.415,ousmane dieng,Ousmane Dieng,Milwaukee Bucks,-1.6,-0.6,-2.2,-1.008,-0.74,-0.268,408.0,370.0,-38.0,-1.014,-0.598,-0.416,418.0,341.5,-76.5,-0.477,-0.58,0.103,311.0,338.5,27.5,0.34,1875.0,1.094,0.557,4.896,3.917,2.054,wing,1000-2000
2024-2026,2025.0,201145,Jeff Green,3851.0,3871.0,0.173,-1.401,-0.0,-1.401,0.045,-0.066,-0.021,0.086,-2.231,-2.145,0.086,-2.231,-2.145,-1.315,-2.231,-3.546,-1.169,-2.086,-3.255,-1.824,-1.824,-1.738,-3.969,-0.0,-2.231,-1.517,-2.086,-3.603,-1.315,-2.231,-1.738,-2.231,jeff green,Jeff Green,Houston Rockets,-2.3,-2.0,-4.3,-1.301,-1.602,0.301,446.0,460.5,14.5,-0.478,-0.956,0.477,313.0,411.5,98.5,-1.8,-1.861,0.062,469.0,469.0,0.0,1.408,1879.0,1.226,0.709,3.774,1.878,1.801,wing,1000-2000
2024-2026,2025.0,1642363,Nique Clifford,3881.0,3873.0,0.175,-3.322,-0.0,-3.322,-0.062,-0.039,-0.101,0.3,0.666,0.966,0.3,0.666,0.966,-3.022,0.666,-2.356,-2.475,0.714,-1.761,-3.557,-3.557,-3.258,-2.592,-0.0,0.666,-2.645,0.714,-1.931,-3.022,0.666,-3.258,0.666,nique clifford,Nique Clifford,Sacramento Kings,-1.6,0.5,-1.1,-0.68,-0.288,-0.392,355.0,271.0,-84.0,-1.205,-0.598,-0.607,439.0,341.5,-97.5,0.423,0.427,-0.005,146.0,154.0,8.0,0.647,1882.0,1.243,0.459,4.151,3.424,1.473,wing,1000-2000
2024-2026,2025.0,1630544,Tre Mann,3928.0,3921.0,0.176,-1.323,-0.0,-1.323,-0.105,-0.033,-0.139,-0.382,-0.276,-0.658,-0.382,-0.276,-0.658,-1.705,-0.276,-1.981,-1.491,-0.281,-1.771,-1.42,-1.42,-1.802,-2.078,-0.0,-0.276,-1.568,-0.281,-1.849,-1.705,-0.276,-1.802,-0.276,tre mann,Tre Mann,Charlotte Hornets,-2.8,-1.0,-3.8,-0.684,-1.397,0.713,356.0,452.5,96.5,-0.657,-1.211,0.554,361.0,438.5,77.5,-0.367,-0.946,0.579,288.0,396.0,108.0,-1.113,1982.0,0.945,0.218,4.123,5.267,2.198,guard,1000-2000
2024-2026,2025.0,1641763,Julian Phillips,3958.0,3946.0,0.177,-2.366,-0.0,-2.366,0.085,0.183,0.268,0.396,-1.359,-0.963,0.396,-1.359,-0.963,-1.97,-1.359,-3.328,-1.702,-1.296,-2.998,-2.739,-2.739,-2.343,-3.702,-0.0,-1.359,-1.986,-1.296,-3.282,-1.97,-1.359,-2.343,-1.359,julian phillips,Julian Phillips,Minnesota Timberwolves,-1.7,0.2,-1.6,-1.194,-0.494,-0.701,431.0,309.5,-121.5,-0.775,-0.649,-0.126,379.0,352.0,-27.0,-1.172,0.153,-1.325,427.0,191.5,-235.5,2.262,1875.0,1.958,0.653,2.918,1.19,1.574,big,1000-2000
2024-2026,2025.0,1641871,Duop Reath,3976.0,3953.0,0.178,0.177,-0.0,0.177,0.156,0.194,0.35,-0.17,-0.583,-0.753,-0.17,-0.583,-0.753,0.007,-0.583,-0.576,0.008,-0.583,-0.575,0.635,0.635,0.465,-0.118,-0.0,-0.583,0.447,-0.583,-0.136,0.007,-0.583,0.465,-0.583,duop reath,Duop Reath,Atlanta Hawks,-2.0,-0.7,-2.7,-0.186,-0.945,0.759,250.0,395.0,145.0,0.177,-0.802,0.979,169.0,389.5,220.5,-0.607,-0.671,0.064,337.0,358.0,21.0,3.098,1945.0,2.721,1.111,4.313,1.906,2.684,big,1000-2000
