lam,ratio,c,corr_total,corr_off,corr_def
340.83375547858265,0.5,0.5,0.47200892452210375,0.449552874191083,0.470361512788123
340.83375547858265,0.5,0.6,0.4943691169499011,0.47904760338351043,0.4901763157730927
340.83375547858265,0.5,0.7,0.5125729050021816,0.5028391936385136,0.5068523885615193
340.83375547858265,0.5,0.8,0.527148801074391,0.5219557093464586,0.5207287415345682
340.83375547858265,0.5,0.9,0.53864251037531,0.5373032460475498,0.5321585419931143
340.83375547858265,0.5,1.0,0.5475706256917711,0.5496405612307703,0.5414844489755699
340.83375547858265,0.5,1.1,0.5543956010297328,0.5595838921466466,0.549023464442355
340.83375547858265,1.0,0.4,0.44833921739547766,0.4130831896064563,0.45426186148173453
340.83375547858265,1.0,0.5,0.4753553005521755,0.4493941810633311,0.47793972957856207
340.83375547858265,1.0,0.6,0.4975713445248507,0.47892132178357116,0.4978843620364797
340.83375547858265,1.0,0.7,0.5154910802251778,0.5027356769140022,0.5144507205876164
340.83375547858265,1.0,0.8,0.5296996140321735,0.5218678344287014,0.5280418911122846
340.83375547858265,1.0,0.9,0.540787420269751,0.5372259586551504,0.5390676414943255
340.83375547858265,1.0,1.0,0.5493032912241329,0.5495703736907906,0.5479170212578182
340.83375547858265,1.0,1.1,0.5557308633395524,0.5595184467336595,0.5549428630488561
444.93738902635585,0.1,0.4,0.44470365713345483,0.4206682683293049,0.4408118323959775
444.93738902635585,0.1,0.5,0.4715745428927128,0.45671134440992456,0.46359244235154673
444.93738902635585,0.1,0.6,0.49394631067774114,0.48577134212252643,0.483199835037042
444.93738902635585,0.1,0.7,0.5122310841342651,0.5090206048488574,0.4998761769247233
444.93738902635585,0.1,0.8,0.5269315985500994,0.527559106456652,0.513911886363503
444.93738902635585,0.1,0.9,0.538572629794058,0.5423375944886111,0.5256154418475358
444.93738902635585,0.1,1.0,0.5476553227716534,0.5541396432485531,0.5352913936000878
444.93738902635585,0.1,1.1,0.5546316668305493,0.5635932277706255,0.5432260743474543
444.93738902635585,0.18,0.4,0.44579701643989394,0.42059016492516604,0.44271374520135154
444.93738902635585,0.18,0.5,0.472699537003181,0.4566557708775329,0.46563730813315146
444.93738902635585,0.18,0.6,0.4950437156119382,0.48573207904185284,0.4853123530736881
444.93738902635585,0.18,0.7,0.5132583928890742,0.5089927319990376,0.5019945355462139
444.93738902635585,0.18,0.8,0.5278617823891082,0.5275389587045545,0.5159882483225315
444.93738902635585,0.18,0.9,0.5393913631736228,0.5423225489829023,0.5276149526741543
444.93738902635585,0.18,1.0,0.5483577817872439,0.5541278742989815,0.537190382463615
444.93738902635585,0.18,1.1,0.55521957519989,0.5635834901637982,0.5450099651459959
444.93738902635585,0.2872,0.4,0.44710452775385495,0.42050346449973486,0.44508641725494724
444.93738902635585,0.2872,0.5,0.47403787992789825,0.4565913740876771,0.46818033493123457
444.93738902635585,0.2872,0.6,0.4963402710529611,0.4856838586387284,0.48792969853319795
444.93738902635585,0.2872,0.7,0.5144618618716061,0.5089558647748783,0.5046081874811796
444.93738902635585,0.2872,0.8,0.5289403198749141,0.5275098658643719,0.518538604161313
444.93738902635585,0.2872,0.9,0.540328872295437,0.5422986769891056,0.5300593008529784
444.93738902635585,0.2872,1.0,0.5491497755815659,0.5541074489888584,0.539500386778155
444.93738902635585,0.2872,1.1,0.555869432803436,0.5635653020302744,0.5471688361538251
444.93738902635585,0.5,0.4,0.44933506217414626,0.42036619067354153,0.44937807590850154
444.93738902635585,0.5,0.5,0.47630647703570855,0.45648645138756244,0.47275847788912667
444.93738902635585,0.5,0.6,0.4985182965672362,0.48560231611319005,0.492615285615901
444.93738902635585,0.5,0.7,0.5164604061801624,0.5088907072656149,0.5092581066616223
444.93738902635585,0.5,0.8,0.5307060236837581,0.5274559464942769,0.5230456925558795
444.93738902635585,0.5,0.9,0.5418366202438664,0.5422523517176173,0.5343487686682032
444.93738902635585,0.5,1.0,0.5503948609614088,0.5540662042299163,0.5435244933890474
444.93738902635585,0.5,1.1,0.5568606510267586,0.5635274356493261,0.5509011583657912
444.93738902635585,1.0,0.4,0.45336791366551993,0.4201078358848301,0.4580967202310264
444.93738902635585,1.0,0.5,0.4803655296139658,0.45628328393913214,0.4819642361110284
444.93738902635585,1.0,0.6,0.5023536916712732,0.4854393449561771,0.5019282251808905
444.93738902635585,1.0,0.7,0.5199060907691498,0.5087562361600573,0.5183845585592568
444.93738902635585,1.0,0.8,0.5336684881675523,0.5273413573194613,0.5317749618365901
444.93738902635585,1.0,0.9,0.5442781164270313,0.5421515265263325,0.5425421763822443
444.93738902635585,1.0,1.0,0.5523165049524295,0.5539749044897386,0.55110135059635
444.93738902635585,1.0,1.1,0.5582881623234852,0.5634427717025434,0.5578247384518771
