window,window_mid,stat,feature,coef_total,se_total,coef_offense,se_offense,coef_defense,se_defense
2015-2017,2016.0,FTM,ftm,0.6581,0.1062,0.5296,0.0703,0.1285,0.0793
2015-2017,2016.0,ORB,orb,0.6584,0.1722,0.6288,0.1144,0.0296,0.1281
2015-2017,2016.0,PF,pf,-0.3627,0.143,-0.4336,0.0949,0.0709,0.1057
2015-2017,2016.0,STL,stl,2.48,0.2815,0.7291,0.1855,1.7509,0.2098
2015-2017,2016.0,TOV,tov,-1.3171,0.2396,-0.6794,0.158,-0.6377,0.181
2018-2020,2019.0,AST,ast,0.6608,0.0926,0.4212,0.0622,0.2397,0.0685
2018-2020,2019.0,BLK,blk,0.9588,0.2344,-0.0094,0.157,0.9682,0.1743
2018-2020,2019.0,DRB,drb,0.3041,0.0856,-0.1021,0.0574,0.4062,0.0629
2018-2020,2019.0,2P miss,fg2_miss,-0.6712,0.1268,-0.4647,0.0842,-0.2065,0.0955
2018-2020,2019.0,2PM,fg2m,0.5194,0.1337,0.5686,0.0894,-0.0493,0.0997
2018-2020,2019.0,3P miss,fg3_miss,-0.4961,0.1791,-0.1032,0.1207,-0.3928,0.1324
2018-2020,2019.0,3PM,fg3m,1.6786,0.2885,1.2706,0.194,0.408,0.2125
2018-2020,2019.0,FT miss,ft_miss,-0.1514,0.3163,-0.3713,0.2093,0.2199,0.2369
2018-2020,2019.0,FTM,ftm,0.8032,0.1169,0.6017,0.0773,0.2015,0.0877
2018-2020,2019.0,ORB,orb,0.5375,0.1821,0.6842,0.1217,-0.1467,0.1347
2018-2020,2019.0,PF,pf,-0.2638,0.1563,-0.2576,0.1044,-0.0062,0.1151
2018-2020,2019.0,STL,stl,1.7244,0.2937,0.2938,0.1948,1.4306,0.2193
2018-2020,2019.0,TOV,tov,-1.4396,0.2656,-0.6566,0.1763,-0.783,0.1983
2021-2023,2022.0,AST,ast,0.6575,0.0907,0.4103,0.0609,0.2472,0.0669
2021-2023,2022.0,BLK,blk,0.9937,0.2489,-0.1739,0.1671,1.1675,0.1854
2021-2023,2022.0,DRB,drb,0.2816,0.0839,0.0021,0.0565,0.2795,0.0618
2021-2023,2022.0,2P miss,fg2_miss,-0.7568,0.127,-0.4945,0.0846,-0.2623,0.0952
2021-2023,2022.0,2PM,fg2m,0.7692,0.1247,0.616,0.0834,0.1533,0.0926
2021-2023,2022.0,3P miss,fg3_miss,-0.5598,0.1678,-0.2783,0.1125,-0.2814,0.1239
2021-2023,2022.0,3PM,fg3m,1.6046,0.2565,1.3212,0.1711,0.2834,0.189
2021-2023,2022.0,FT miss,ft_miss,-1.0703,0.3112,-0.7874,0.2061,-0.2829,0.2321
2021-2023,2022.0,FTM,ftm,0.8456,0.1123,0.6824,0.075,0.1632,0.0839
2021-2023,2022.0,ORB,orb,0.5893,0.1636,0.7619,0.1092,-0.1726,0.1211
2021-2023,2022.0,PF,pf,-0.0756,0.1546,-0.1369,0.1036,0.0613,0.1146
2021-2023,2022.0,STL,stl,1.6702,0.3321,0.586,0.2221,1.0842,0.2481
2021-2023,2022.0,TOV,tov,-1.3652,0.2471,-0.7189,0.164,-0.6463,0.1837
2024-2026,2025.0,AST,ast,0.5701,0.0809,0.3948,0.0544,0.1753,0.0602
2024-2026,2025.0,BLK,blk,0.8217,0.2293,-0.4099,0.1527,1.2317,0.1694
2024-2026,2025.0,DRB,drb,0.4201,0.09,0.0502,0.0604,0.3699,0.0662
2024-2026,2025.0,2P miss,fg2_miss,-0.8727,0.1426,-0.6395,0.0946,-0.2332,0.106
2024-2026,2025.0,2PM,fg2m,0.7504,0.127,0.6591,0.085,0.0913,0.094
2024-2026,2025.0,3P miss,fg3_miss,-0.4907,0.1645,-0.3213,0.1104,-0.1694,0.1206
2024-2026,2025.0,3PM,fg3m,1.9354,0.2544,1.4994,0.17,0.4361,0.1861
2024-2026,2025.0,FT miss,ft_miss,0.1459,0.3603,-0.1545,0.24,0.3005,0.27
2024-2026,2025.0,FTM,ftm,0.9517,0.1199,0.714,0.0801,0.2378,0.0896
2024-2026,2025.0,ORB,orb,0.7577,0.1494,0.6461,0.0993,0.1115,0.1114
2024-2026,2025.0,PF,pf,-0.0324,0.1592,-0.1509,0.1066,0.1185,0.1181
2024-2026,2025.0,STL,stl,2.8699,0.2983,0.9396,0.1974,1.9304,0.2215
2024-2026,2025.0,TOV,tov,-1.9117,0.2413,-0.8944,0.1597,-1.0173,0.1815
