pool,window,side,feature,coef,se,delta,delta_se,coef_playoff,se_playoff,n_po_rows,lam_delta,side_name,stat,delta_z,sign_convention
era_third,1997-2006,O,drb,0.0666,0.0439,-0.0266,0.0636,0.04,0.0744,42783,1000000.0,offense,DRB,-0.4178,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,ast,0.4862,0.0385,-0.0908,0.0584,0.3954,0.0674,42783,1000000.0,offense,AST,-1.5548,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,tov,-0.9403,0.1086,-0.0068,0.0737,-0.9471,0.1296,42783,1000000.0,offense,TOV,-0.0925,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,stl,0.5332,0.1159,-0.0049,0.0744,0.5283,0.1355,42783,1000000.0,offense,STL,-0.0663,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,blk,-0.0333,0.0725,0.0563,0.0722,0.023,0.1001,42783,1000000.0,offense,BLK,0.7798,positive = good on both sides; total = offense + defense
era_third,1997-2006,O,pf,-0.2602,0.0506,0.0205,0.0661,-0.2397,0.0808,42783,1000000.0,offense,PF,0.3101,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg3m,0.2829,0.2281,-0.0232,0.0727,0.2597,0.2385,42783,1000000.0,defense,3PM,-0.3196,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg3_miss,-0.3953,0.1355,-0.0097,0.0654,-0.405,0.1493,42783,1000000.0,defense,3P miss,-0.1485,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg2m,0.1832,0.0731,0.0563,0.0623,0.2395,0.0943,42783,1000000.0,defense,2PM,0.9037,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,fg2_miss,-0.3317,0.0648,0.0702,0.0619,-0.2615,0.0879,42783,1000000.0,defense,2P miss,1.134,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,ftm,0.1371,0.0577,0.0044,0.0633,0.1416,0.0835,42783,1000000.0,defense,FTM,0.0697,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,ft_miss,-0.0545,0.1317,0.0017,0.0712,-0.0528,0.1475,42783,1000000.0,defense,FT miss,0.0242,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,orb,-0.3115,0.0873,0.0017,0.0707,-0.3098,0.1104,42783,1000000.0,defense,ORB,0.0241,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,drb,0.4292,0.0506,0.0271,0.0636,0.4564,0.0786,42783,1000000.0,defense,DRB,0.4267,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,ast,0.1131,0.0443,0.0097,0.0584,0.1228,0.071,42783,1000000.0,defense,AST,0.1662,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,tov,-0.5542,0.1268,0.0129,0.0737,-0.5414,0.1452,42783,1000000.0,defense,TOV,0.1745,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,stl,1.5578,0.1364,0.0203,0.0745,1.5781,0.1535,42783,1000000.0,defense,STL,0.2729,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,blk,0.8793,0.0842,-0.0334,0.0722,0.8459,0.1089,42783,1000000.0,defense,BLK,-0.4624,positive = good on both sides; total = offense + defense
era_third,1997-2006,D,pf,0.1858,0.058,0.019,0.0662,0.2048,0.0858,42783,1000000.0,defense,PF,0.2868,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg3m,1.5931,0.3056,-0.0211,0.1029,1.572,0.3211,42783,1000000.0,total,3PM,-0.2054,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg3_miss,-0.4458,0.1819,-0.0154,0.0927,-0.4612,0.2023,42783,1000000.0,total,3P miss,-0.166,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg2m,1.0308,0.0976,0.0837,0.089,1.1145,0.1292,42783,1000000.0,total,2PM,0.9402,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,fg2_miss,-0.9145,0.0861,0.1025,0.0872,-0.8119,0.12,42783,1000000.0,total,2P miss,1.1762,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,ftm,0.7557,0.0755,-0.0284,0.0889,0.7274,0.1132,42783,1000000.0,total,FTM,-0.3193,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,ft_miss,-0.3199,0.1728,0.0138,0.1005,-0.3061,0.1962,42783,1000000.0,total,FT miss,0.1376,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,orb,0.1113,0.1156,0.0271,0.1001,0.1385,0.1499,42783,1000000.0,total,ORB,0.2711,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,drb,0.4958,0.0675,0.0006,0.0911,0.4964,0.1094,42783,1000000.0,total,DRB,0.0062,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,ast,0.5993,0.0591,-0.0811,0.084,0.5182,0.0991,42783,1000000.0,total,AST,-0.9651,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,tov,-1.4945,0.1668,0.006,0.1042,-1.4884,0.1944,42783,1000000.0,total,TOV,0.058,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,stl,2.091,0.1795,0.0154,0.1053,2.1064,0.2053,42783,1000000.0,total,STL,0.1461,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,blk,0.846,0.1117,0.0229,0.1023,0.8689,0.1484,42783,1000000.0,total,BLK,0.2239,positive = good on both sides; total = offense + defense
era_third,1997-2006,Total,pf,-0.0744,0.0774,0.0395,0.0942,-0.0349,0.1186,42783,1000000.0,total,PF,0.4193,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,fg3m,1.3025,0.1618,1.0055,0.5163,2.308,0.5195,46862,100.0,offense,3PM,1.9475,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,fg3_miss,-0.0954,0.0991,-0.4787,0.3225,-0.5741,0.3243,46862,100.0,offense,3P miss,-1.4844,positive = good on both sides; total = offense + defense
