fg3m,fg3_miss,fg2m,fg2_miss,ftm,ft_miss,orb,drb,ast,tov,stl,blk,pf,season,share,gs_pct,age,Max_Shadow,Min_Shadow,Mean_Shadow,Median_Shadow
-0.2172470786212335,0.9674762086976046,-0.2403308877187706,1.711908998545499,-0.33317292273114407,-0.35087713579544716,-0.3749258712594421,0.42820067153866287,0.04586925743039016,,2.232527328482276,3.7693937415706236,-0.23843790298334314,-0.330676565935414,-0.11929144041336215,1.8551077335339399,-0.4327876275693437,-0.33012911135719397,-0.654192112758799,-0.5232960316732185,-0.5412133295461827
-0.5476293295019501,0.8272595805622142,0.2854331448583619,0.5376118625007251,-0.3956555534238256,-0.5310862201129675,-0.30997252311368534,0.13883293605314498,-0.047679980306589036,,1.6978812004446568,3.5443959140620067,1.1622560026851365,-0.3636000327214793,0.13059315532748375,2.7148364681290174,0.5130436288287044,-0.49528787521065143,-0.6459710840204047,-0.5847825158919346,-0.5972124415353073
-0.12684505979009433,0.7448102465805093,-0.19837660191366888,1.7966069965786766,-0.3885991617247406,,-0.30235739277283097,0.308009256757356,0.0960268118103303,,2.1188506378291176,3.5163492608117233,-0.17313347291647346,-0.38389368150804737,0.10455720741000114,1.9012283009501743,-0.5601048946288286,-0.4250634334133072,-0.6702092227752154,-0.5635418968982137,-0.5743322745084734
-0.21839473283064395,0.7782713355239035,-0.19828029366669964,1.7157735263881009,-0.368477902919738,,-0.4962786015683028,0.2980283670672695,0.050589746636162634,,2.0653528651373736,3.7141807854012887,0.02376381154457885,-0.3640391594564429,-0.05940361942446784,1.7145617638571125,-0.3829238206591338,-0.46825954971078443,-0.6480091485336408,-0.5515149380686909,-0.5510586293538748
-0.1089103174923613,0.7652253617947384,-0.19777860638506412,1.778154089962882,-0.5034281320004251,,-0.4993167747541603,0.29861441684308815,-0.01690276187613296,,2.083615955409467,3.7616018888491625,0.2993990667276048,-0.35533407643714265,-0.23238826781612146,1.471335844637593,-0.4608120282646289,-0.2740887841959568,-0.6246825780698141,-0.5388717106132332,-0.5639912271646393
-0.4451369252382689,0.8258371638885766,0.13374454243423534,0.6023266747502423,-0.49148940144025133,,-0.47680695528142125,-0.014178308938138656,-0.03737543067451707,,1.5879579645554291,3.2434742746295,1.2009334343859799,-0.3163331510137877,0.1991435584839765,2.711175908355525,0.6142101784603042,-0.40981157743343516,-0.7335080365035124,-0.6224989018238257,-0.643157175756635
-0.2506844298391642,0.8807104272998951,-0.19252628010157852,1.7120106816868554,-0.48517887138748644,,-0.4702093861803136,0.3185494830892626,-0.07849165990437625,,2.1198226769069186,3.741804535983394,0.18408546212397056,-0.32648241373611364,-0.14679434296969088,1.5331599976036112,-0.479086330944208,-0.423173526848382,-0.6200493639874053,-0.537379303308732,-0.5570936566329195
-0.4231365518292594,0.8751592992151378,0.11726688894984319,0.8889515422055022,-0.44873465220175174,,-0.4969295463230984,0.10472347094628616,-0.18717991909454176,,1.6850481241149557,3.5149529567584246,0.900441946907416,-0.313752720459143,-0.07131783880978143,2.455702502600354,0.4214958369382739,-0.5552521360803772,-0.6652879445660248,-0.6015127559945747,-0.6007184567603217
-0.25501653904738475,0.7852877183044993,-0.2614763817460341,1.817401093119831,-0.3484357461942011,,-0.4014949287459715,0.33398776972389604,0.10715590773166311,,2.142827487428562,3.419637097843841,-0.16446523363054494,-0.30689617429939714,0.10140647130242979,2.0038449603082205,-0.6425248648090397,-0.4198495388611476,-0.671589326882615,-0.5554159091526911,-0.5640944293715937
-0.19817507457485586,0.7702727867856902,-0.34361094696476485,1.7990628381929006,-0.36685554234090245,,-0.36432747663101506,0.3040013603430543,0.06575700335963741,,2.099792243112697,3.6179954430501113,-0.11124799518270106,-0.3889033906432388,0.0024421955294570887,1.7830565597725125,-0.28694416249390703,-0.4782451438727243,-0.6535837500837702,-0.5588210560876451,-0.5556834010257576
-0.15087480242070123,0.7298083985574989,-0.14951948449110694,1.640403250698202,-0.36211655504732043,,-0.4320979440452174,0.33988189573888306,0.0009313912228055884,,2.1615762755063783,3.6525056666855416,-0.08587597939278874,-0.320847401561599,0.02588555518744423,1.799679924374326,-0.5509393752427103,-0.47163292830619397,-0.6256999946836826,-0.5532267210513092,-0.5776316236802091
-0.5547774111583842,0.7768843472967182,0.21043483695681733,0.5096814024037506,-0.44727062777480203,,-0.390646821434227,0.004182131221710104,-0.017416477232164645,,1.6681590083799778,3.2006641000538885,1.1433732888345862,-0.32881671959393544,0.3044800170780753,2.7319960610345317,0.6515905125392738,-0.5380801152415834,-0.7107371117912392,-0.6308345099070543,-0.6099371461016315
-0.3751343449390269,0.7093743692136978,-0.09016788617499392,1.6644488131644994,-0.4181043758675955,,-0.32540837186613153,0.19561630655233353,0.21280212476667235,,2.1519395401861474,3.5041946353572793,-0.23762234983934444,-0.06608789516199083,0.3104510956070367,1.9520471459925821,-0.578669819950578,-0.482741236107386,-0.7179351410160418,-0.5739785991360394,-0.6021556867389145
-0.35959445023809805,0.7223026897590623,0.24841598830304215,0.7837613483965256,-0.548881096188128,,-0.32117682241046774,0.03140042779339095,-0.08232868392354997,,1.6662683153011122,3.4210822365821767,0.9977132951479628,-0.3007514078131743,0.15441028788443498,2.5196793063217715,0.5389204818077692,-0.5129822553989722,-0.7166045092323574,-0.631414794448255,-0.6279629455726677
